userName,cohort,trial,PossibleNavigations,ExperimentPhase,UserSelectedNavMethod,TaskNumber,ActiveTask,CurrentLeverValue,CurrentTargetLeverNumber,LeverDifference,DistanceToCurrentIndicatorCube,ProximityToCurrentIndicatorCube,CurrentTargetCubeIndicator.x,CurrentTargetCubeIndicator.y,CurrentTargetCubeIndicator.z,elapsedTime,TotalDistanceTraveled,headset x,headset y,headset z,Controller (left) x,Controller (left) y,Controller (left) z,Controller (right) x,Controller (right) y,Controller (right) z,headset.euler.x,headset.euler.y,headset.euler.z,headset.InspectorRotation.x,headset.InspectorRotation.y,headset.InspectorRotation.z,leftController.euler.x,leftController.euler.y,leftController.euler.z,leftController.InspectorRotation.x,leftController.InspectorRotation.y,leftController.InspectorRotation.z,rightController.euler.x,rightController.euler.y,rightController.euler.z,rightController.InspectorRotation.x,rightController.InspectorRotation.y,rightController.InspectorRotation.z
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.43452,Far,-28.661,44.641,-5.3419,3.649698,1.043737,-34.64186,44.6199,-15.08752,-34.48346,44.07142,-14.89615,-35.16,43.14921,-14.19511,2.295423,46.06009,358.1552,2.295,46.06,-1.845,342.15,62.1731,351.0935,-17.85,62.173,-8.906,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.43413,Far,-28.661,44.641,-5.3419,3.806545,1.043737,-34.66692,44.65651,-15.07165,-34.49552,44.15926,-14.86818,-35.16,43.14921,-14.19511,1.004978,46.69148,358.1702,1.005,46.691,-1.83,334.8795,59.75155,351.0042,-25.12,59.752,-8.996,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.42757,Far,-28.661,44.641,-5.3419,3.943364,1.043737,-34.67601,44.6494,-15.05833,-34.50819,44.17711,-14.83025,-35.16,43.14921,-14.19511,2.186203,45.74149,359.4006,2.186,45.742,-0.599,331.6397,53.44628,350.7318,-28.36,53.446,-9.268001,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.412,Far,-28.661,44.641,-5.3419,4.107852,1.043737,-34.67298,44.64777,-15.04189,-34.52503,44.15866,-14.80719,-35.16,43.14921,-14.19511,2.079884,42.36036,359.3407,2.08,42.36,-0.659,335.6812,48.45747,349.3363,-24.319,48.457,-10.664,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.40298,Far,-28.661,44.641,-5.3419,4.253847,1.043737,-34.6676,44.64365,-15.03462,-34.53733,44.1462,-14.79172,-35.16,43.14921,-14.19511,4.193697,41.37804,359.2567,4.194,41.378,-0.743,337.2136,46.53173,349.1129,-22.786,46.532,-10.887,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.39935,Far,-28.661,44.641,-5.3419,4.408552,1.043737,-34.65943,44.62754,-15.0354,-34.54302,44.14867,-14.76236,-35.16,43.14921,-14.19511,11.29887,43.5179,359.0681,11.299,43.518,-0.932,339.6205,38.20841,353.5183,-20.38,38.208,-6.482,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.39675,Far,-28.661,44.641,-5.3419,4.561678,1.043737,-34.65358,44.61118,-15.03592,-34.53578,44.18464,-14.73583,-35.16,43.14921,-14.19511,18.51203,46.12392,359.6304,18.512,46.124,-0.37,336.3247,32.37918,359.9723,-23.675,32.379,-0.028,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.39883,Far,-28.661,44.641,-5.3419,4.74266,1.043737,-34.65643,44.61119,-15.03661,-34.52924,44.25286,-14.70975,-35.16,43.14921,-14.19511,18.62476,45.4829,0.03931413,18.625,45.483,0.039,328.2879,28.18511,9.90932,-31.712,28.185,9.909,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.40048,Far,-28.661,44.641,-5.3419,4.875964,1.043737,-34.66008,44.61304,-15.03629,-34.52549,44.27478,-14.68788,-35.16,43.14921,-14.19511,17.73429,43.7389,359.2281,17.734,43.739,-0.772,340.046,26.48062,27.47936,-19.954,26.481,27.479,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.40403,Far,-28.661,44.641,-5.3419,5.012751,1.043737,-34.66279,44.61628,-15.03879,-34.51434,44.30634,-14.68292,-35.16,43.14921,-14.19511,16.24865,43.12993,358.6,16.249,43.13,-1.4,339.9388,23.33705,10.9193,-20.061,23.337,10.919,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.40736,Far,-28.661,44.641,-5.3419,5.182986,1.043737,-34.66582,44.6189,-15.04084,-34.517,44.33241,-14.68584,-35.16,43.14921,-14.19511,14.9221,43.16199,357.9293,14.922,43.162,-2.071,333.3687,18.3398,6.960727,-26.631,18.34,6.961,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.4123,Far,-28.661,44.641,-5.3419,5.352807,1.043737,-34.66847,44.62697,-15.04503,-34.51996,44.34494,-14.686,-35.16,43.14921,-14.19511,11.34861,41.95399,357.0296,11.349,41.954,-2.97,328.671,19.61867,4.376802,-31.329,19.619,4.377,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.43165,Far,-28.661,44.641,-5.3419,5.547732,1.043737,-34.66948,44.64167,-15.06717,-34.52017,44.35802,-14.68952,-35.16,43.14921,-14.19511,2.121327,41.97328,353.0784,2.121,41.973,-6.922,320.8185,23.63032,5.333239,-39.182,23.63,5.333,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.43129,Far,-28.661,44.641,-5.3419,5.682594,1.043737,-34.67607,44.64687,-15.06267,-34.52645,44.36456,-14.69398,-35.16,43.14921,-14.19511,358.5573,42.46642,354.8599,-1.443,42.466,-5.14,318.3993,30.45212,6.506166,-41.601,30.452,6.506001,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.42479,Far,-28.661,44.641,-5.3419,5.815903,1.043737,-34.68532,44.6513,-15.04929,-34.55542,44.35832,-14.68735,-35.16,43.14921,-14.19511,356.3955,39.15725,359.8459,-3.604,39.157,-0.154,317.9963,26.82796,9.954007,-42.004,26.828,9.954,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.41966,Far,-28.661,44.641,-5.3419,5.952961,1.043737,-34.68967,44.65239,-15.04055,-34.58248,44.33701,-14.68219,-35.16,43.14921,-14.19511,355.8221,39.50502,359.9524,-4.178,39.505,-0.048,321.4177,23.51026,11.83603,-38.582,23.51,11.836,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.40996,Far,-28.661,44.641,-5.3419,6.119615,1.043737,-34.68611,44.65409,-15.03133,-34.60883,44.31329,-14.68396,-35.16,43.14921,-14.19511,353.9033,40.49979,1.016326,-6.097,40.5,1.016,321.3039,20.70297,8.671124,-38.696,20.703,8.671,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.40145,Far,-28.661,44.641,-5.3419,6.288909,1.043737,-34.67036,44.6427,-15.0311,-34.61304,44.29236,-14.68893,-35.16,43.14921,-14.19511,1.907995,39.91626,0.7844718,1.908,39.916,0.784,323.9461,20.13182,6.589137,-36.054,20.132,6.589,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.39778,Far,-28.661,44.641,-5.3419,6.441759,1.043737,-34.66529,44.63731,-15.02993,-34.60525,44.28001,-14.70626,-35.16,43.14921,-14.19511,5.175762,39.89624,0.5471177,5.176,39.896,0.5470001,325.0378,22.81789,5.055602,-34.962,22.818,5.056,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.29829,Far,-28.661,44.641,-5.3419,6.623727,1.144797,-34.58916,44.63761,-14.96002,-34.53132,44.26282,-14.65174,-35.0848,43.14921,-14.12759,5.259794,39.10961,0.9048608,5.26,39.11,0.905,326.8231,24.07685,3.568508,-33.177,24.077,3.569,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,10.94588,Far,-28.661,44.641,-5.3419,6.770426,1.504498,-34.32895,44.63645,-14.70602,-34.27726,44.24923,-14.40255,-34.82751,43.14921,-13.8763,6.076745,38.57164,0.5534264,6.077,38.572,0.553,329.0275,24.90713,2.161618,-30.973,24.907,2.162,0,0,0,0,0,0
