userName,ExperimentState,ReflectionPhasePart,elapsedTime,totalDistanceTraveled,headsetPosX,headsetPosY,headsetPosZ,ControllerLeftPosX,ControllerLeftPosY,ControllerLeftPosZ,ControllerRightPosX,ControllerRightPosY,ControllerRightPosZ,headsetRotEulerX,headsetRotEulerY,headsetRotEulerZ,headsetRotInspectorX,headsetRotInspectorY,headsetRotInspectorZ,controllerLeftRotEulerX,controllerLeftRotEulerY,controllerLeftRotEulerZ,controllerLeftRotInspectorX,controllerLeftRotInspectorY,controllerLefttRotInspectorZ,controllerRightRotEulerX,controllerRightRotEulerY,controllerRightRotEulerZ,controllerRightRotInspectorX,controllerRightRotInspectorY,controllerRighttRotInspectorZ,Task0IsVisible,Task1IsVisible,Task2IsVisible,Task3IsVisible,Task4IsVisible,Task5IsVisible,Task6IsVisible,Task7IsVisible,Task8IsVisible,Task9IsVisible,Task10IsVisible,Task11IsVisible,Task12IsVisible,Task13IsVisible,Task14IsVisible,Task15IsVisible,Task16IsVisible,Task17IsVisible,Task18IsVisible,Task19IsVisible,Task20IsVisible,Task21IsVisible,Task22IsVisible,Task23IsVisible,
R_1234567890,Reflective,Main,3.610076,2.312678,-35.53571,44.60845,-15.40274,-35.91119,44.149,-15.26914,-35.33614,44.13967,-15.26417,14.32575,0.6949298,354.7709,14.326,0.6950001,-5.229,340.5206,317.2603,8.102345,-19.479,-42.74,8.102,328.5935,15.87783,352.4181,-31.407,15.878,-7.582,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_1234567890,Reflective,Main,3.767548,2.386257,-35.52398,44.61738,-15.33086,-35.88812,44.16761,-15.17289,-35.32841,44.14871,-15.20183,13.11076,6.022634,354.0366,13.111,6.023,-5.963,338.4785,321.8659,7.960429,-21.521,-38.134,7.960001,326.6646,18.17288,351.0226,-33.335,18.173,-8.977,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_1234567890,Reflective,Main,3.904104,2.4259,-35.51048,44.62194,-15.29399,-35.85602,44.18135,-15.10015,-35.31336,44.1591,-15.16143,10.42837,17.07519,354.1521,10.428,17.075,-5.848,336.4975,326.6725,8.40824,-23.503,-33.327,8.408,325.3211,22.10365,350.6233,-34.679,22.104,-9.377001,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_1234567890,Reflective,Main,4.069696,2.457451,-35.4981,44.63314,-15.2673,-35.80086,44.18281,-15.02902,-35.29039,44.17612,-15.13908,7.210161,29.62699,355.4023,7.210001,29.627,-4.598,336.092,334.5145,8.813387,-23.908,-25.485,8.813001,324.3192,25.74675,352.0068,-35.681,25.747,-7.993001,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_1234567890,Reflective,Main,4.234929,2.485211,-35.48913,44.63967,-15.24192,-35.74108,44.18541,-14.96649,-35.25887,44.18562,-15.13408,4.148614,37.56642,355.1825,4.149,37.566,-4.818,335.2361,342.1362,9.40326,-24.764,-17.864,9.403001,323.3796,31.05028,354.0172,-36.62,31.05,-5.983,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_1234567890,Reflective,Main,4.393285,2.534045,-35.47768,44.64174,-15.1946,-35.68461,44.18746,-14.89792,-35.22565,44.18899,-15.12446,2.269789,43.32742,355.1905,2.27,43.327,-4.81,335.1796,348.8797,10.3003,-24.82,-11.12,10.3,323.1753,38.71299,354.7199,-36.825,38.713,-5.28,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_1234567890,Reflective,Main,4.526857,2.593593,-35.46382,44.63754,-15.13685,-35.63387,44.18729,-14.82856,-35.19648,44.19018,-15.09833,0.5506983,48.47974,355.0569,0.551,48.48,-4.943,334.0466,354.3073,10.85924,-25.953,-5.693,10.859,322.4949,43.64714,356.2344,-37.505,43.647,-3.766,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_1234567890,Reflective,Main,4.651031,2.668724,-35.44513,44.63353,-15.06421,-35.57865,44.18425,-14.7497,-35.16299,44.18897,-15.05676,359.5857,54.8485,354.5338,-0.414,54.848,-5.466,333.4134,0.7100431,10.00884,-26.587,0.71,10.009,322.4696,50.41523,356.0262,-37.53,50.415,-3.974,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_1234567890,Reflective,Main,4.785339,2.749831,-35.42306,44.64273,-14.98687,-35.5194,44.19231,-14.66899,-35.1256,44.19077,-15.00586,359.4211,60.41195,353.4782,-0.5790001,60.412,-6.522,331.8507,7.56102,7.58333,-28.149,7.561,7.583,324.1421,59.565,355.4104,-35.858,59.565,-4.59,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_1234567890,Reflective,Main,4.923227,2.809848,-35.40359,44.64843,-14.93054,-35.45666,44.20516,-14.60475,-35.0947,44.19891,-14.9698,0.8947117,65.91971,354.4101,0.895,65.92001,-5.59,330.9869,15.94718,5.268149,-29.013,15.947,5.268,327.9635,69.77724,355.8279,-32.037,69.777,-4.172,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
