userName,cohort,trial,PossibleNavigations,ExperimentPhase,UserSelectedNavMethod,TaskNumber,ActiveTask,CurrentLeverValue,CurrentTargetLeverNumber,LeverDifference,DistanceToCurrentIndicatorCube,ProximityToCurrentIndicatorCube,CurrentTargetCubeIndicator.x,CurrentTargetCubeIndicator.y,CurrentTargetCubeIndicator.z,elapsedTime,TotalDistanceTraveled,headset x,headset y,headset z,Controller (left) x,Controller (left) y,Controller (left) z,Controller (right) x,Controller (right) y,Controller (right) z,headset.euler.x,headset.euler.y,headset.euler.z,headset.InspectorRotation.x,headset.InspectorRotation.y,headset.InspectorRotation.z,leftController.euler.x,leftController.euler.y,leftController.euler.z,leftController.InspectorRotation.x,leftController.InspectorRotation.y,leftController.InspectorRotation.z,rightController.euler.x,rightController.euler.y,rightController.euler.z,rightController.InspectorRotation.x,rightController.InspectorRotation.y,rightController.InspectorRotation.z,cameraRig x,cameraRig y,cameraRig z,cameraRig.euler.x,cameraRig.euler.y,cameraRig.euler.z,cameraRig.InspectorRotation.x,cameraRig.InspectorRotation.y,cameraRig.InspectorRotation.z
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.89788,Far,-28.661,44.641,-5.3419,5.341762,0.3383141,-34.54741,44.21069,-15.67265,-35.16,43.14921,-14.37448,-35.16,43.14921,-14.37448,330.6326,107.6133,1.16187,-29.367,107.613,1.162,0,0,0,0,0,0,0,0,0,0,0,0,-35.16,43.14921,-14.37448,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.89809,Far,-28.661,44.641,-5.3419,5.476815,0.3383141,-34.54735,44.21068,-15.67293,-35.16,43.14921,-14.37448,-35.16,43.14921,-14.37448,330.5771,107.5365,1.205501,-29.423,107.537,1.206,0,0,0,0,0,0,0,0,0,0,0,0,-35.16,43.14921,-14.37448,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.89922,Far,-28.661,44.641,-5.3419,5.619742,0.3383141,-34.54723,44.21024,-15.67428,-35.16,43.14921,-14.37448,-35.16,43.14921,-14.37448,330.6722,107.9052,1.04858,-29.328,107.905,1.049,0,0,0,0,0,0,0,0,0,0,0,0,-35.16,43.14921,-14.37448,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.90021,Far,-28.661,44.641,-5.3419,5.745561,0.3383141,-34.54802,44.21078,-15.675,-35.16,43.14921,-14.37448,-35.16,43.14921,-14.37448,330.5217,108.095,0.9858127,-29.478,108.095,0.9860001,0,0,0,0,0,0,0,0,0,0,0,0,-35.16,43.14921,-14.37448,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.90124,Far,-28.661,44.641,-5.3419,5.8819,0.3383141,-34.54847,44.21095,-15.67593,-35.16,43.14921,-14.37448,-35.16,43.14921,-14.37448,330.4397,108.4395,0.9936636,-29.56,108.44,0.994,0,0,0,0,0,0,0,0,0,0,0,0,-35.16,43.14921,-14.37448,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.90139,Far,-28.661,44.641,-5.3419,6.015202,0.3383141,-34.54815,44.21046,-15.67627,-35.16,43.14921,-14.37448,-35.16,43.14921,-14.37448,330.5201,108.5748,0.8323148,-29.48,108.575,0.832,0,0,0,0,0,0,0,0,0,0,0,0,-35.16,43.14921,-14.37448,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.90123,Far,-28.661,44.641,-5.3419,6.144707,0.3383141,-34.5477,44.21048,-15.67634,-35.16,43.14921,-14.37448,-35.16,43.14921,-14.37448,330.529,108.5279,0.8386508,-29.471,108.528,0.839,0,0,0,0,0,0,0,0,0,0,0,0,-35.16,43.14921,-14.37448,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.90107,Far,-28.661,44.641,-5.3419,6.279372,0.3383141,-34.54807,44.21064,-15.67596,-35.16,43.14921,-14.37448,-35.16,43.14921,-14.37448,330.5277,108.5089,0.8751329,-29.472,108.509,0.8750001,0,0,0,0,0,0,0,0,0,0,0,0,-35.16,43.14921,-14.37448,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.90087,Far,-28.661,44.641,-5.3419,6.415022,0.3383141,-34.54818,44.21075,-15.67566,-35.16,43.14921,-14.37448,-35.16,43.14921,-14.37448,330.6148,108.3859,0.890645,-29.385,108.386,0.891,0,0,0,0,0,0,0,0,0,0,0,0,-35.16,43.14921,-14.37448,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,11.90029,Far,-28.661,44.641,-5.3419,6.569664,0.3383141,-34.54865,44.21093,-15.67475,-35.16,43.14921,-14.37448,-35.16,43.14921,-14.37448,330.4964,108.5154,1.003426,-29.504,108.515,1.003,0,0,0,0,0,0,0,0,0,0,0,0,-35.16,43.14921,-14.37448,0,0,0,0,0,0
