userName,cohort,trial,PossibleNavigations,ExperimentPhase,UserSelectedNavMethod,TaskNumber,ActiveTask,DistanceToCurrentIndicatorCube,ProximityToCurrentIndicatorCube,CurrentTargetCubeIndicator.x,CurrentTargetCubeIndicator.y,CurrentTargetCubeIndicator.z,elapsedTime,TotalDistanceTraveledCameraRig,m_TotalDistanceTraveledHeadset,headset x,headset y,headset z,Controller (left) x,Controller (left) y,Controller (left) z,Controller (right) x,Controller (right) y,Controller (right) z,headset.euler.x,headset.euler.y,headset.euler.z,headset.InspectorRotation.x,headset.InspectorRotation.y,headset.InspectorRotation.z,leftController.euler.x,leftController.euler.y,leftController.euler.z,leftController.InspectorRotation.x,leftController.InspectorRotation.y,leftController.InspectorRotation.z,rightController.euler.x,rightController.euler.y,rightController.euler.z,rightController.InspectorRotation.x,rightController.InspectorRotation.y,rightController.InspectorRotation.z,cameraRig x,cameraRig y,cameraRig z,cameraRig.euler.x,cameraRig.euler.y,cameraRig.euler.z,cameraRig.InspectorRotation.x,cameraRig.InspectorRotation.y,cameraRig.InspectorRotation.z,m_EventType,m_Side,m_Status
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,10.43589,Far,-28.057,44.482,-5.3419,4.506915,6.815691,6.927363,-28.10525,44.28873,-15.77588,-28.80516,43.14921,-14.40206,-28.22953,43.84736,-15.88706,357.8915,113.7553,355.3206,-2.108,113.755,-4.679,0,0,0,0,0,0,353.4304,123.8894,7.299052,-6.57,123.889,7.299,-28.80516,43.14921,-14.40206,0,0,0,0,0,0,,,
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,10.43597,Far,-28.057,44.482,-5.3419,4.642368,6.815691,6.927363,-28.10496,44.28918,-15.77598,-28.80516,43.14921,-14.40206,-28.22997,43.84801,-15.88808,357.8862,113.7061,355.2355,-2.114,113.706,-4.765,0,0,0,0,0,0,353.2592,123.8398,7.412578,-6.741,123.84,7.413001,-28.80516,43.14921,-14.40206,0,0,0,0,0,0,,,
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,12.18728,Far,-28.057,44.482,-5.3419,4.776994,6.815691,6.927363,-34.45956,44.28873,-15.7101,-35.16,43.14921,-14.33602,-34.58518,43.84727,-15.82226,357.9795,113.7561,355.2133,-2.021,113.756,-4.787,0,0,0,0,0,0,353.1967,123.8179,7.487251,-6.803,123.818,7.487,-35.16,43.14921,-14.33602,0,0,0,0,0,0,,,
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,12.18721,Far,-28.057,44.482,-5.3419,4.909038,6.815691,6.927363,-34.45955,44.28902,-15.71004,-35.16,43.14921,-14.33602,-34.58541,43.84706,-15.82203,357.9589,113.7385,355.1987,-2.041,113.739,-4.801,0,0,0,0,0,0,353.2443,123.7882,7.396528,-6.756001,123.788,7.397,-35.16,43.14921,-14.33602,0,0,0,0,0,0,,,
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,12.18746,Far,-28.057,44.482,-5.3419,5.0457,6.815691,6.927703,-34.4599,44.2896,-15.71013,-35.16,43.14921,-14.33602,-34.58552,43.84656,-15.82245,357.9843,113.7173,355.1818,-2.016,113.717,-4.818,0,0,0,0,0,0,353.4605,123.8627,7.179152,-6.54,123.863,7.179,-35.16,43.14921,-14.33602,0,0,0,0,0,0,,,
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,12.1879,Far,-28.057,44.482,-5.3419,5.182693,6.815691,6.928551,-34.46054,44.28997,-15.71025,-35.16,43.14921,-14.33602,-34.58643,43.84625,-15.82331,358.0216,113.694,355.2274,-1.978,113.694,-4.773,0,0,0,0,0,0,353.6577,124.0652,6.87478,-6.342,124.065,6.875,-35.16,43.14921,-14.33602,0,0,0,0,0,0,,,
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,12.18871,Far,-28.057,44.482,-5.3419,5.33506,6.815691,6.929586,-34.46124,44.29037,-15.71078,-35.16,43.14921,-14.33602,-34.58755,43.84664,-15.82441,357.9828,113.5845,355.2211,-2.017,113.584,-4.779,0,0,0,0,0,0,353.6166,124.1477,6.590455,-6.383,124.148,6.59,-35.16,43.14921,-14.33602,0,0,0,0,0,0,,,
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,12.15823,Far,-28.057,44.482,-5.3419,5.483194,6.936673,7.050921,-34.34568,44.29042,-15.74567,-35.0441,43.14921,-14.37071,-34.47129,43.84612,-15.8586,358.0181,113.438,355.1469,-1.982,113.438,-4.853,0,0,0,0,0,0,353.7363,123.4786,7.157438,-6.264,123.479,7.157001,-35.0441,43.14921,-14.37071,0,0,0,0,0,0,,,
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,12.01579,Far,-28.057,44.482,-5.3419,5.627396,7.255001,7.368682,-34.03094,44.29055,-15.76565,-34.72874,43.14921,-14.39005,-34.15546,43.84704,-15.87546,357.9962,113.2862,355.0494,-2.004,113.286,-4.951,0,0,0,0,0,0,353.5828,122.5259,7.112331,-6.417,122.526,7.112,-34.72874,43.14921,-14.39005,0,0,0,0,0,0,,,
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,11.87273,Far,-28.057,44.482,-5.3419,5.767527,7.55067,7.663963,-33.73567,44.2913,-15.76678,-34.43307,43.14921,-14.39005,-33.85873,43.8469,-15.87453,357.9082,113.2346,354.9936,-2.092,113.235,-5.006,0,0,0,0,0,0,353.7106,122.0146,7.185163,-6.289001,122.015,7.185,-34.43307,43.14921,-14.39005,0,0,0,0,0,0,,,
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,11.74513,Far,-28.057,44.482,-5.3419,5.895406,7.828157,7.941191,-33.45846,44.29171,-15.76956,-34.1556,43.14921,-14.39194,-33.58015,43.8476,-15.87681,357.8962,113.0738,354.8745,-2.104,113.074,-5.125,0,0,0,0,0,0,353.6253,121.8136,7.222157,-6.375,121.814,7.222,-34.1556,43.14921,-14.39194,0,0,0,0,0,0,,,
