userName,cohort,trial,PossibleNavigations,ExperimentPhase,UserSelectedNavMethod,TaskNumber,ActiveTask,DistanceToCurrentIndicatorCube,ProximityToCurrentIndicatorCube,CurrentTargetCubeIndicator.x,CurrentTargetCubeIndicator.y,CurrentTargetCubeIndicator.z,elapsedTime,TotalDistanceTraveledCameraRig,m_TotalDistanceTraveledHeadset,headset x,headset y,headset z,Controller (left) x,Controller (left) y,Controller (left) z,Controller (right) x,Controller (right) y,Controller (right) z,headset.euler.x,headset.euler.y,headset.euler.z,headset.InspectorRotation.x,headset.InspectorRotation.y,headset.InspectorRotation.z,leftController.euler.x,leftController.euler.y,leftController.euler.z,leftController.InspectorRotation.x,leftController.InspectorRotation.y,leftController.InspectorRotation.z,rightController.euler.x,rightController.euler.y,rightController.euler.z,rightController.InspectorRotation.x,rightController.InspectorRotation.y,rightController.InspectorRotation.z,cameraRig x,cameraRig y,cameraRig z,cameraRig.euler.x,cameraRig.euler.y,cameraRig.euler.z,cameraRig.InspectorRotation.x,cameraRig.InspectorRotation.y,cameraRig.InspectorRotation.z
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,12.22962,Far,-28.057,44.482,-5.3419,3.482097,0.3437901,58.76969,-34.5872,44.15835,-15.67705,-34.49312,43.76042,-15.80235,-34.57744,43.76221,-15.82625,338.0487,104.3353,359.6904,-21.951,104.335,-0.31,345.3575,208.6097,342.8181,-14.643,-151.39,-17.182,345.2022,212.3651,341.1808,-14.798,-147.635,-18.819,-35.16,43.14921,-14.369,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,12.227,Far,-28.057,44.482,-5.3419,3.637538,0.3437901,58.77581,-34.58994,44.16082,-15.6723,-34.49261,43.76059,-15.80189,-34.57656,43.76256,-15.8257,337.5844,104.0515,0.1608152,-22.416,104.051,0.161,345.3458,208.6095,342.819,-14.654,-151.39,-17.181,345.1955,212.364,341.1732,-14.805,-147.636,-18.827,-35.16,43.14921,-14.369,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,12.22138,Far,-28.057,44.482,-5.3419,3.772006,0.3437901,58.78576,-34.5935,44.16368,-15.66348,-34.49252,43.76025,-15.80224,-34.57599,43.76249,-15.82563,336.8512,103.1333,0.7904866,-23.149,103.133,0.79,345.3506,208.6055,342.8256,-14.649,-151.394,-17.174,345.2022,212.3533,341.1839,-14.798,-147.647,-18.816,-35.16,43.14921,-14.369,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,12.21544,Far,-28.057,44.482,-5.3419,3.90472,0.3437901,58.79704,-34.59819,44.16626,-15.65356,-34.49303,43.76027,-15.80255,-34.57634,43.76266,-15.8258,336.3324,102.2874,1.637208,-23.668,102.287,1.637,345.3595,208.6071,342.826,-14.641,-151.393,-17.174,345.2091,212.3458,341.1665,-14.791,-147.654,-18.833,-35.16,43.14921,-14.369,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,12.20768,Far,-28.057,44.482,-5.3419,4.0451,0.3437901,58.80913,-34.60157,44.16869,-15.64228,-34.49305,43.76028,-15.80219,-34.57566,43.76299,-15.82496,335.8316,101.0915,2.499649,-24.168,101.091,2.5,345.3522,208.61,342.824,-14.648,-151.39,-17.176,345.19,212.3366,341.159,-14.81,-147.663,-18.841,-35.16,43.14921,-14.369,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,12.19998,Far,-28.057,44.482,-5.3419,4.171379,0.3437901,58.81919,-34.60287,44.16933,-15.63234,-34.49339,43.75993,-15.80246,-34.57485,43.76318,-15.82444,335.7511,99.84474,3.365844,-24.249,99.845,3.366,345.3578,208.6038,342.8338,-14.642,-151.396,-17.166,345.1823,212.326,341.168,-14.818,-147.674,-18.832,-35.16,43.14921,-14.369,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,12.19476,Far,-28.057,44.482,-5.3419,4.305683,0.3437901,58.82508,-34.6023,44.1691,-15.62652,-34.49372,43.75984,-15.80315,-34.57469,43.76331,-15.8247,335.9818,99.33016,3.77263,-24.018,99.33,3.773,345.3705,208.6007,342.8417,-14.629,-151.399,-17.158,345.2033,212.3208,341.1783,-14.797,-147.679,-18.822,-35.16,43.14921,-14.369,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,12.19287,Far,-28.057,44.482,-5.3419,4.445983,0.3437901,58.8276,-34.60073,44.16824,-15.62525,-34.49363,43.76007,-15.80287,-34.57519,43.76319,-15.82489,336.2986,99.18472,3.889064,-23.701,99.18501,3.889,345.3648,208.6067,342.833,-14.635,-151.393,-17.167,345.2033,212.3167,341.1533,-14.797,-147.683,-18.847,-35.16,43.14921,-14.369,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,12.19496,Far,-28.057,44.482,-5.3419,4.574236,0.3437901,58.83258,-34.59827,44.16697,-15.62925,-34.49349,43.76022,-15.80286,-34.57594,43.76283,-15.82565,336.7097,99.73068,3.474766,-23.29,99.731,3.475,345.361,208.6062,342.839,-14.639,-151.394,-17.161,345.2135,212.3228,341.1443,-14.786,-147.677,-18.856,-35.16,43.14921,-14.369,0,0,0,0,0,0
R_1234567890,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,12.20055,Far,-28.057,44.482,-5.3419,4.71386,0.3437901,58.84211,-34.5951,44.16426,-15.63781,-34.49326,43.76006,-15.80265,-34.57633,43.76253,-15.82572,337.5473,100.795,2.595678,-22.453,100.795,2.596,345.3572,208.6003,342.8354,-14.643,-151.4,-17.165,345.2088,212.32,341.1292,-14.791,-147.68,-18.871,-35.16,43.14921,-14.369,0,0,0,0,0,0
