PossibleNavigations,ExperimentPhase,UserSelectedNavMethod,m_TaskNumber,m_ActiveTask,m_CurrentLeverValue,m_CurrentTargetLeverNumber,m_LeverDifference,m_DistanceToCurrentIndicatorCube,elapsedTime,TotalDistanceTraveled,headset x,headset y,headset z,Controller (left) x,Controller (left) y,Controller (left) z,Controller (right) x,Controller (right) y,Controller (right) z,TeleportStart.x,TeleportStart.y,TeleportStart.z,TeleportEnd.x,TeleportEnd.y,TeleportEnd.z
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,7.102239,5.173767,6.303582,-33.04781,44.89997,-11.14704,-33.09871,44.51204,-10.92798,-32.84661,44.41231,-10.99372,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,6.895251,5.339962,6.628274,-33.11412,44.89934,-10.82922,-33.16335,44.51185,-10.61118,-32.91296,44.41273,-10.67708,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,6.694573,5.475336,6.924395,-33.14886,44.89926,-10.53534,-33.19563,44.51118,-10.31694,-32.94692,44.4144,-10.38342,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,6.489025,5.603251,7.176698,-33.11831,44.89959,-10.2858,-33.16397,44.51078,-10.06754,-32.91541,44.41668,-10.13376,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,6.24136,5.740219,7.442599,-33.01824,44.89923,-10.03993,-33.06394,44.51075,-9.8232,-32.81555,44.41538,-9.888603,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,5.978715,5.89636,7.714228,-32.88522,44.89943,-9.803135,-32.93195,44.51095,-9.586012,-32.68544,44.41409,-9.651081,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,5.682453,6.032286,8.024698,-32.7415,44.89894,-9.528309,-32.78895,44.51205,-9.310704,-32.54284,44.41344,-9.376122,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,5.451063,6.186051,8.303954,-32.68259,44.89858,-9.256345,-32.72908,44.51257,-9.039642,-32.48426,44.41275,-9.105774,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,5.187412,6.364788,8.655247,-32.64205,44.89825,-8.907407,-32.68702,44.51195,-8.691655,-32.44411,44.41198,-8.758082,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,4.93227,6.520188,8.999363,-32.5917,44.89765,-8.567065,-32.63758,44.51134,-8.351035,-32.39613,44.41143,-8.416435,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,4.726645,6.654976,9.271433,-32.535,44.8973,-8.300989,-32.58217,44.51104,-8.083829,-32.34101,44.4119,-8.148891,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,4.515193,6.794281,9.550708,-32.4658,44.89728,-8.030435,-32.51432,44.51123,-7.812349,-32.27309,44.41136,-7.876892,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,4.273417,6.969817,9.874026,-32.37632,44.8974,-7.719763,-32.42764,44.51116,-7.500055,-32.18672,44.4111,-7.564083,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,4.051291,7.105075,10.17223,-32.2812,44.89749,-7.437179,-32.33432,44.50976,-7.214039,-32.09253,44.40997,-7.27865,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,3.839501,7.243443,10.44617,-32.17074,44.89735,-7.186844,-32.22463,44.50746,-6.96114,-31.98124,44.40848,-7.026466,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,3.589828,7.374313,10.70949,-31.97579,44.89683,-7.013461,-32.03039,44.50651,-6.787004,-31.78248,44.40791,-6.853033,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,3.283868,7.524368,11.01697,-31.70353,44.89596,-6.871198,-31.75675,44.50633,-6.644506,-31.50546,44.40653,-6.712033,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,3.016356,7.65868,11.28583,-31.45325,44.89546,-6.773295,-31.50524,44.50568,-6.546676,-31.25098,44.40477,-6.615882,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,2.744534,7.820688,11.56253,-31.18682,44.89503,-6.698884,-31.23767,44.504,-6.47277,-30.9807,44.40374,-6.544509,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,2.442408,7.973289,11.87679,-30.8788,44.89463,-6.636657,-30.93051,44.50365,-6.411354,-30.66886,44.40126,-6.484725,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,2.120809,8.157317,12.22265,-30.53654,44.89393,-6.587524,-30.59038,44.5038,-6.363237,-30.32405,44.40003,-6.437962,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,1.845548,8.308329,12.5335,-30.22718,44.89307,-6.557203,-30.28016,44.50343,-6.335444,-30.01206,44.39973,-6.410391,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,1.587213,8.465588,12.8367,-29.92598,44.89214,-6.522999,-29.97369,44.50206,-6.306378,-29.70499,44.39972,-6.3818,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,1.317846,8.631069,13.16714,-29.59979,44.89099,-6.47061,-29.64271,44.50099,-6.260341,-29.37328,44.40045,-6.335302,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,1.114789,8.766979,13.4301,-29.34354,44.88924,-6.411726,-29.3856,44.50061,-6.20698,-29.11458,44.39936,-6.280236,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,0.8955348,8.933006,13.7511,-29.03519,44.88661,-6.322738,-29.07987,44.49989,-6.123155,-28.80508,44.39743,-6.192581,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,0.7365269,9.100436,14.07028,-28.73437,44.88323,-6.216328,-28.78459,44.49832,-6.021416,-28.50505,44.396,-6.084781,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,0.6952116,9.256611,14.38587,-28.44028,44.8786,-6.110869,-28.49901,44.49559,-5.924206,-28.21727,44.39691,-5.977815,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,0.6855081,9.389499,14.39901,-28.45194,44.87435,-6.106629,-28.52638,44.49271,-5.926958,-28.23375,44.39246,-5.966437,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,0.6798765,9.519905,14.40645,-28.4584,44.87223,-6.103828,-28.55252,44.49097,-5.934249,-28.25177,44.3904,-5.950669,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,0.679983,9.653292,14.41138,-28.45527,44.8702,-6.103337,-28.57546,44.48595,-5.944582,-28.26824,44.38438,-5.930283,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,0.6862383,9.790343,14.42999,-28.43674,44.86945,-6.102218,-28.58893,44.48255,-5.958682,-28.27186,44.38276,-5.90926,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,0.6981326,9.92497,14.46161,-28.40528,44.87105,-6.09951,-28.59127,44.48058,-5.970021,-28.25308,44.38718,-5.879284,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,0.7096404,10.06075,14.49229,-28.3748,44.86969,-6.096603,-28.58526,44.48204,-5.977521,-28.21032,44.41257,-5.827348,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,0.7233124,10.19238,14.52432,-28.34326,44.86447,-6.095843,-28.57205,44.48504,-5.984531,-28.16006,44.44453,-5.75285,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,0.7371034,10.32714,14.55124,-28.31727,44.85798,-6.098172,-28.55834,44.48456,-5.994603,-28.12624,44.45412,-5.68303,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,0.7483159,10.46378,14.5705,-28.29875,44.85365,-6.100954,-28.54818,44.48443,-6.006205,-28.11658,44.44779,-5.630143,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,0.7593045,10.59551,14.58639,-28.2849,44.84853,-6.106811,-28.53956,44.48455,-6.016809,-28.1142,44.43381,-5.601315,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,0.7666694,10.72772,14.59588,-28.27643,44.84731,-6.110456,-28.53409,44.48312,-6.026163,-28.1138,44.4326,-5.592711,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,0.7716095,10.86337,14.60135,-28.27188,44.84868,-6.112966,-28.52902,44.48264,-6.033739,-28.11396,44.43306,-5.591907,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,0.776032,10.99648,14.60634,-28.26762,44.84881,-6.115448,-28.52498,44.48252,-6.037991,-28.11412,44.43188,-5.592683,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,0.7808046,11.13206,14.61154,-28.26367,44.84846,-6.118783,-28.52126,44.48371,-6.040695,-28.11179,44.43314,-5.594369,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,0.7839085,11.26415,14.61519,-28.26119,44.8476,-6.121239,-28.51756,44.48363,-6.04243,-28.10876,44.43309,-5.596151,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,0.7855495,11.40554,14.61713,-28.26029,44.84755,-6.122711,-28.51589,44.48253,-6.044847,-28.10605,44.43057,-5.598166,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,0.7855193,11.53445,14.61866,-28.26138,44.84771,-6.123447,-28.51673,44.4823,-6.046551,-28.10697,44.43015,-5.598378,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,0.7845621,11.66769,14.62143,-28.26377,44.84758,-6.124058,-28.51831,44.48207,-6.048092,-28.10825,44.43048,-5.598099,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,0.7827514,11.80249,14.62601,-28.26817,44.84845,-6.124732,-28.52037,44.48148,-6.048741,-28.10978,44.43072,-5.597902,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,0.7808731,11.9373,14.632,-28.27387,44.84937,-6.126225,-28.52381,44.48094,-6.049401,-28.1097,44.42983,-5.598363,,,,,,,
Walk,Complexity,Walk,1,Task1,0.5036428,0.7,0.1963572,10.52274,12.11319,14.64023,-28.2817,44.8506,-6.128296,-28.52947,44.48036,-6.049371,-28.11031,44.42892,-5.599397,,,,,,,
Walk,Complexity,Walk,1,Task1,0.5036428,0.7,0.1963572,10.53059,12.2648,14.65052,-28.29161,44.85149,-6.130735,-28.5371,44.48059,-6.049123,-28.10853,44.43054,-5.601157,,,,,,,
Walk,Complexity,Walk,1,Task1,0.5036428,0.7,0.1963572,10.53858,12.3998,14.66278,-28.30079,44.85889,-6.131665,-28.54172,44.48227,-6.045144,-28.11811,44.44897,-5.621598,,,,,,,
Walk,Complexity,Walk,1,Task1,0.5036428,0.7,0.1963572,15.96061,12.53172,24.69077,-34.44533,44.93199,-14.04468,-34.67768,44.53968,-13.94098,-34.29531,44.52144,-13.61016,,,,,,,
Walk,Complexity,Walk,1,Task1,0.5036428,0.7,0.1963572,15.96741,12.67413,24.75545,-34.45203,44.88522,-14.0497,-34.66224,44.47436,-13.90757,-34.31897,44.39926,-13.71226,,,,,,,
Walk,Complexity,Walk,1,Task1,0.5036428,0.7,0.1963572,15.98014,12.84028,24.77389,-34.4632,44.89759,-14.05745,-34.63573,44.47704,-13.87011,-34.2878,44.30419,-13.82475,,,,,,,
Walk,Complexity,Walk,1,Task1,0.5036428,0.7,0.1963572,15.99776,13.0152,24.79539,-34.47897,44.90672,-14.06732,-34.60397,44.47904,-13.83871,-34.22654,44.28222,-13.91827,,,,,,,
Walk,Complexity,Walk,1,Task1,0.5036428,0.7,0.1963572,15.98208,13.1759,24.82025,-34.46662,44.90774,-14.04986,-34.54343,44.47396,-13.7986,-34.17895,44.29782,-13.96098,,,,,,,
Walk,Complexity,Walk,1,Task1,0.5036428,0.7,0.1963572,15.89968,13.3263,24.90305,-34.38693,44.9082,-14.02832,-34.42682,44.47529,-13.77734,-34.07016,44.31861,-13.98997,,,,,,,
Walk,Complexity,Walk,1,Task1,0.5036428,0.7,0.1963572,15.75372,13.48323,25.05004,-34.24061,44.90763,-14.01474,-34.25717,44.47384,-13.77233,-33.90951,44.3367,-14.01286,,,,,,,
Walk,Complexity,Walk,1,Task1,0.5036428,0.7,0.1963572,15.54898,13.61406,25.25805,-34.03272,44.90853,-14.00773,-34.03449,44.47231,-13.76781,-33.69378,44.34502,-14.02676,,,,,,,
Walk,Complexity,Walk,1,Task1,0.5036428,0.7,0.1963572,15.24731,13.78474,25.56701,-33.72381,44.90956,-14.00857,-33.71774,44.47524,-13.76797,-33.38078,44.34586,-14.03781,,,,,,,
Walk,Complexity,Walk,1,Task1,0.5036428,0.7,0.1963572,14.97812,13.91798,25.84542,-33.44563,44.9082,-14.01971,-33.43564,44.48019,-13.78035,-33.10094,44.35029,-14.05102,,,,,,,
Walk,Complexity,Walk,1,Task1,0.5036428,0.7,0.1963572,14.71241,14.05049,26.1219,-33.1696,44.90906,-14.03536,-33.15816,44.48176,-13.7933,-32.82186,44.35164,-14.06563,,,,,,,
Walk,Complexity,Walk,1,Task1,0.5036428,0.7,0.1963572,14.44263,14.18559,26.40304,-32.88892,44.90865,-14.05133,-32.87886,44.48435,-13.80513,-32.53941,44.35143,-14.07909,,,,,,,
Walk,Complexity,Walk,1,Task1,0.5036428,0.7,0.1963572,14.18482,14.3183,26.67211,-32.62028,44.90789,-14.06656,-32.61184,44.48598,-13.81761,-32.27135,44.35343,-14.09334,,,,,,,
Walk,Complexity,Walk,1,Task1,0.5036428,0.7,0.1963572,13.8912,14.47915,26.97898,-32.31389,44.90675,-14.08356,-32.30651,44.48588,-13.83516,-31.96357,44.35123,-14.10466,,,,,,,
Walk,Complexity,Walk,1,Task1,0.5036428,0.7,0.1963572,13.59741,14.61044,27.28607,-32.00717,44.90651,-14.09866,-31.99996,44.48427,-13.85221,-31.65833,44.3499,-14.11983,,,,,,,
Walk,Complexity,Walk,1,Task1,0.5036428,0.7,0.1963572,13.34617,14.74405,27.54829,-31.74515,44.90525,-14.10876,-31.73978,44.48365,-13.86352,-31.3997,44.35157,-14.13805,,,,,,,
Walk,Complexity,Walk,1,Task1,0.5036428,0.7,0.1963572,13.04104,14.90407,27.86663,-31.42696,44.90434,-14.11855,-31.42262,44.48237,-13.87527,-31.08362,44.3523,-14.15414,,,,,,,
Walk,Complexity,Walk,1,Task1,0.5036428,0.7,0.1963572,12.78308,15.06104,28.13563,-31.15804,44.90368,-14.12468,-31.15412,44.48275,-13.88323,-30.81578,44.35167,-14.16118,,,,,,,
Walk,Complexity,Walk,1,Task1,0.5036428,0.7,0.1963572,12.44675,15.21358,28.48585,-30.80784,44.90277,-14.12853,-30.80396,44.4823,-13.88878,-30.46593,44.34685,-14.1569,,,,,,,
Walk,Complexity,Walk,1,Task1,0.5036428,0.7,0.1963572,12.18181,15.37103,28.76243,-30.53129,44.90266,-14.1319,-30.5282,44.48167,-13.89239,-30.18893,44.34398,-14.15276,,,,,,,
Walk,Complexity,Walk,1,Task1,0.5036428,0.7,0.1963572,11.83657,15.5451,29.12222,-30.17151,44.90155,-14.13163,-30.16889,44.48091,-13.89563,-29.82977,44.34396,-14.15413,,,,,,,
Walk,Complexity,Walk,1,Task1,0.5036428,0.7,0.1963572,11.57277,15.67826,29.39683,-29.89692,44.90063,-14.12835,-29.89524,44.48005,-13.89418,-29.55709,44.34432,-14.15907,,,,,,,
Walk,Complexity,Walk,1,Task1,0.5036428,0.7,0.1963572,11.3156,15.81538,29.66447,-29.62933,44.89996,-14.1231,-29.62784,44.47961,-13.89183,-29.28954,44.34305,-14.15288,,,,,,,
Walk,Complexity,Walk,1,Task1,0.5036428,0.7,0.1963572,11.06028,15.95728,29.92975,-29.36419,44.89915,-14.11468,-29.36202,44.47953,-13.88582,-29.02459,44.34249,-14.14247,,,,,,,
Walk,Complexity,Walk,1,Task1,0.5036428,0.7,0.1963572,10.73551,16.11875,30.26607,-29.02832,44.89813,-14.0975,-29.02516,44.47941,-13.87393,-28.69336,44.34493,-14.1387,,,,,,,
Walk,Complexity,Walk,1,Task1,0.5036428,0.7,0.1963572,10.47283,16.25566,30.53851,-28.75628,44.89845,-14.083,-28.75846,44.47974,-13.85986,-28.42759,44.34627,-14.12988,,,,,,,
Walk,Complexity,Walk,1,Task1,0.5036428,0.7,0.1963572,10.12757,16.42346,30.89951,-28.39549,44.89812,-14.07088,-28.39936,44.47676,-13.84565,-28.06788,44.34354,-14.10686,,,,,,,
Walk,Complexity,Walk,1,Task1,0.5036428,0.7,0.1963572,9.877975,16.55662,31.16139,-28.13374,44.89818,-14.06258,-28.13771,44.47681,-13.83579,-27.80705,44.34228,-14.09555,,,,,,,
Walk,Complexity,Walk,1,Task1,0.5036428,0.7,0.1963572,9.62156,16.68667,31.43063,-27.86469,44.89845,-14.0525,-27.86674,44.47773,-13.82535,-27.54081,44.34368,-14.09217,,,,,,,
Walk,Complexity,Walk,1,Task1,0.5036428,0.7,0.1963572,9.365514,16.82491,31.7006,-27.59488,44.89924,-14.04341,-27.5956,44.47758,-13.81546,-27.2712,44.34572,-14.08544,,,,,,,
Walk,Complexity,Walk,1,Task1,0.5036428,0.7,0.1963572,9.114279,16.95768,31.96641,-27.32921,44.89968,-14.03473,-27.32879,44.47738,-13.80523,-27.00468,44.34777,-14.07678,,,,,,,
Walk,Complexity,Walk,1,Task1,0.5036428,0.7,0.1963572,8.860131,17.09378,32.23504,-27.06087,44.90048,-14.02258,-27.05891,44.47859,-13.79181,-26.73486,44.34888,-14.06007,,,,,,,
Walk,Complexity,Walk,1,Task1,0.5036428,0.7,0.1963572,8.603091,17.23533,32.50455,-26.79222,44.90066,-14.00126,-26.78937,44.47922,-13.77007,-26.46634,44.34996,-14.03569,,,,,,,
Walk,Complexity,Walk,1,Task1,0.5036428,0.7,0.1963572,8.337811,17.37892,32.77767,-26.5224,44.90091,-13.95931,-26.51879,44.47919,-13.72946,-26.19636,44.35004,-13.99089,,,,,,,
Walk,Complexity,Walk,1,Task1,0.5036428,0.7,0.1963572,8.0204,17.53328,33.10196,-26.20431,44.90112,-13.8963,-26.20083,44.47923,-13.66733,-25.87881,44.34983,-13.92824,,,,,,,
Walk,Complexity,Walk,1,Task1,0.5036428,0.7,0.1963572,7.757254,17.66812,33.36985,-25.94293,44.90136,-13.83758,-25.94047,44.47837,-13.60989,-25.61893,44.34999,-13.87204,,,,,,,
Walk,Complexity,Walk,1,Task1,0.5036428,0.7,0.1963572,7.486318,17.80327,33.64553,-25.67452,44.90137,-13.7747,-25.6742,44.47713,-13.54694,-25.34998,44.34918,-13.80959,,,,,,,
Walk,Complexity,Walk,1,Task1,0.5036428,0.7,0.1963572,7.220721,17.9417,33.91623,-25.41086,44.90107,-13.71344,-25.41157,44.4774,-13.48488,-25.08575,44.34875,-13.74847,,,,,,,
Walk,Complexity,Walk,1,Task1,0.5036428,0.7,0.1963572,6.895511,18.10956,34.25077,-25.08274,44.90146,-13.64848,-25.08315,44.47685,-13.41908,-24.75589,44.34753,-13.67965,,,,,,,
Walk,Complexity,Walk,1,Task1,0.5036428,0.7,0.1963572,6.559238,18.27523,34.60758,-24.72796,44.90113,-13.61129,-24.72749,44.47749,-13.38236,-24.40093,44.3463,-13.642,,,,,,,
Walk,Complexity,Walk,1,Task1,0.5036428,0.7,0.1963572,6.269168,18.43152,34.92112,-24.41528,44.90084,-13.58829,-24.41722,44.47828,-13.35783,-24.08929,44.34459,-13.61701,,,,,,,
Walk,Complexity,Walk,1,Task1,0.5036428,0.7,0.1963572,6.026274,18.56029,35.18452,-24.1528,44.9003,-13.56643,-24.15505,44.47759,-13.33473,-23.82695,44.34384,-13.59101,,,,,,,
