PossibleNavigations,ExperimentPhase,UserSelectedNavMethod,m_TaskNumber,m_ActiveTask,m_CurrentLeverValue,m_CurrentTargetLeverNumber,m_LeverDifference,m_DistanceToCurrentIndicatorCube,elapsedTime,TotalDistanceTraveled,headset x,headset y,headset z,Controller (left) x,Controller (left) y,Controller (left) z,Controller (right) x,Controller (right) y,Controller (right) z,m_TeleportPositionStep.x,m_TeleportPositionStep.y,m_TeleportPositionStep.z,CurrentTargetCubeIndicator.x,CurrentTargetCubeIndicator.y,CurrentTargetCubeIndicator.z
Walk,Plateau,Walk,10,Task5,0.5036428,0.7,0.1963572,25.63542,8.958136,1.217725,-33.2732,43.86528,-13.43539,-33.66485,43.98608,-13.29281,-33.55579,43.99674,-13.3258,0,0,0,-13.049,28.321,-15.9911
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,9.15837,9.099607,1.2769,-33.27319,43.92399,-13.43539,-33.66478,44.04469,-13.29221,-33.55576,44.05539,-13.32525,0,0,0,-28.721,44.641,-5.5209
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,9.158192,9.237129,1.277755,-33.27309,43.9241,-13.43525,-33.66435,44.04489,-13.29211,-33.55558,44.05544,-13.32493,0,0,0,-28.721,44.641,-5.5209
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,9.158226,9.370469,1.278346,-33.27331,43.92398,-13.43516,-33.66465,44.04491,-13.29209,-33.55563,44.05525,-13.32448,0,0,0,-28.721,44.641,-5.5209
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,9.158325,9.502991,1.278955,-33.27333,43.92401,-13.43526,-33.66466,44.04453,-13.29198,-33.55549,44.0551,-13.32464,0,0,0,-28.721,44.641,-5.5209
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,9.158546,9.637331,1.279514,-33.27346,43.92411,-13.43546,-33.66471,44.04449,-13.29124,-33.55576,44.05514,-13.3243,0,0,0,-28.721,44.641,-5.5209
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,9.158388,9.778667,1.280562,-33.27324,43.92399,-13.43539,-33.66471,44.04442,-13.29139,-33.5558,44.05508,-13.32446,0,0,0,-28.721,44.641,-5.5209
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,9.158442,9.912968,1.281503,-33.27332,43.92383,-13.43539,-33.66435,44.04459,-13.2914,-33.55523,44.05517,-13.32463,0,0,0,-28.721,44.641,-5.5209
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,9.158448,10.04202,1.282154,-33.27316,43.92412,-13.43551,-33.66463,44.04487,-13.29181,-33.55563,44.05531,-13.32464,0,0,0,-28.721,44.641,-5.5209
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,9.158479,10.18273,1.282701,-33.27353,43.9241,-13.43534,-33.66476,44.04477,-13.29118,-33.55565,44.05522,-13.32368,0,0,0,-28.721,44.641,-5.5209
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,9.158186,10.30724,1.283577,-33.27306,43.92409,-13.43526,-33.66413,44.04485,-13.29149,-33.55537,44.05537,-13.32456,0,0,0,-28.721,44.641,-5.5209
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,9.15834,10.44353,1.284316,-33.2729,43.92387,-13.43551,-33.6646,44.04483,-13.29198,-33.55575,44.05553,-13.32523,0,0,0,-28.721,44.641,-5.5209
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,9.158306,10.57552,1.285387,-33.27329,43.92402,-13.43526,-33.66423,44.04464,-13.29185,-33.55534,44.0555,-13.32465,0,0,0,-28.721,44.641,-5.5209
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,9.161612,10.71052,1.300776,-33.2853,43.92463,-13.43223,-33.66417,44.0443,-13.29187,-33.55549,44.05617,-13.32661,0,0,0,-28.721,44.641,-5.5209
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,9.243695,10.84421,1.438938,-33.31769,44.0221,-13.51673,-33.66401,44.04397,-13.29184,-33.55515,44.05623,-13.32682,0,0,0,-28.721,44.641,-5.5209
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,9.382381,11.00657,1.795305,-33.44425,44.33687,-13.62198,-33.66367,44.04364,-13.29173,-33.55504,44.05585,-13.32512,0,0,0,-28.721,44.641,-5.5209
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,9.468099,11.13659,2.013309,-33.56353,44.51456,-13.65594,-33.66346,44.04353,-13.29171,-33.55566,44.05508,-13.32326,0,0,0,-28.721,44.641,-5.5209
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,9.553434,11.26958,2.14508,-33.68461,44.55564,-13.68322,-33.66302,44.04338,-13.29173,-33.55537,44.05492,-13.3227,0,0,0,-28.721,44.641,-5.5209
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,9.584822,11.40386,2.211049,-33.72669,44.58695,-13.69457,-33.66264,44.0432,-13.29176,-33.55593,44.05703,-13.32764,0,0,0,-28.721,44.641,-5.5209
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,9.574545,11.53482,2.264939,-33.74458,44.63073,-13.67169,-33.66249,44.04309,-13.29181,-33.55669,44.05785,-13.33116,0,0,0,-28.721,44.641,-5.5209
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,9.59137,11.66929,2.385132,-33.74224,44.7436,-13.69226,-33.66214,44.04296,-13.29174,-33.55539,44.058,-13.33107,0,0,0,-28.721,44.641,-5.5209
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,9.620605,11.80361,2.506069,-33.74633,44.82379,-13.72265,-33.66213,44.04258,-13.2917,-33.55491,44.05816,-13.33143,0,0,0,-28.721,44.641,-5.5209
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,9.652351,11.93999,2.664064,-33.66658,44.93192,-13.80489,-33.66205,44.04221,-13.29153,-33.55414,44.05826,-13.33156,0,0,0,-28.721,44.641,-5.5209
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,9.740554,12.072,2.866699,-33.59781,45.0636,-13.9421,-33.66188,44.04181,-13.29123,-33.5532,44.05843,-13.33146,0,0,0,-28.721,44.641,-5.5209
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,9.882609,12.20716,3.068146,-33.57327,45.13038,-14.11637,-33.66187,44.04152,-13.29102,-33.55272,44.05872,-13.33144,0,0,0,-28.721,44.641,-5.5209
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,10.0341,12.34285,3.227315,-33.65248,45.10624,-14.24714,-33.66167,44.04106,-13.29095,-33.55174,44.05893,-13.33114,0,0,0,-28.721,44.641,-5.5209
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,10.09029,12.47206,3.33033,-33.69349,45.02986,-14.29228,-33.66153,44.04067,-13.29081,-33.55082,44.05912,-13.33074,0,0,0,-28.721,44.641,-5.5209
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,10.05872,12.60856,3.391774,-33.70349,44.98914,-14.25196,-35.16,43.208,-14.71,-33.54983,44.05931,-13.33023,0,0,0,-28.721,44.641,-5.5209
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,10.0059,12.74158,3.453967,-33.70139,44.99547,-14.19201,-35.16,43.208,-14.71,-33.5486,44.05938,-13.32959,0,0,0,-28.721,44.641,-5.5209
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,9.970126,12.87624,3.508709,-33.71414,45.00317,-14.14301,-35.16,43.208,-14.71,-33.54747,44.05943,-13.32867,0,0,0,-28.721,44.641,-5.5209
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,9.919775,13.01333,3.572923,-33.71107,44.97539,-14.08766,-35.16,43.208,-14.71,-33.54602,44.05945,-13.32728,0,0,0,-28.721,44.641,-5.5209
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,9.905025,13.14366,3.644438,-33.71836,44.91436,-14.06848,-35.16,43.208,-14.71,-33.54492,44.05934,-13.32573,0,0,0,-28.721,44.641,-5.5209
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,9.890176,13.27878,3.682022,-33.73238,44.90723,-14.04327,-35.16,43.208,-14.71,-33.54378,44.05927,-13.32391,0,0,0,-28.721,44.641,-5.5209
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,9.852208,13.41396,3.727338,-33.72808,44.90096,-14.00191,-35.16,43.208,-14.71,-33.54231,44.0592,-13.32169,0,0,0,-28.721,44.641,-5.5209
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,9.81445,13.54604,3.773925,-33.72986,44.89989,-13.957,-35.16,43.208,-14.71,-35.16,43.208,-14.71,0,0,0,-28.721,44.641,-5.5209
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,9.771169,13.6806,3.832465,-33.73565,44.87821,-13.90378,-35.16,43.208,-14.71,-35.16,43.208,-14.71,0,0,0,-28.721,44.641,-5.5209
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,9.723802,13.82195,3.891306,-33.73775,44.87892,-13.84724,-35.16,43.208,-14.71,-35.16,43.208,-14.71,0,0,0,-28.721,44.641,-5.5209
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,9.680829,13.95016,3.945137,-33.74215,44.88329,-13.79422,-35.16,43.208,-14.71,-35.16,43.208,-14.71,0,0,0,-28.721,44.641,-5.5209
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,9.63114,14.08574,4.002335,-33.73983,44.8859,-13.73736,-35.16,43.208,-14.71,-35.16,43.208,-14.71,0,0,0,-28.721,44.641,-5.5209
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,9.576728,14.22189,4.069498,-33.74152,44.86729,-13.67301,-35.16,43.208,-14.71,-35.16,43.208,-14.71,0,0,0,-28.721,44.641,-5.5209
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,9.520486,14.35284,4.1472,-33.742,44.82567,-13.60762,-35.16,43.208,-14.71,-35.16,43.208,-14.71,0,0,0,-28.721,44.641,-5.5209
