PossibleNavigations,ExperimentPhase,UserSelectedNavMethod,m_TaskNumber,m_ActiveTask,m_CurrentLeverValue,m_CurrentTargetLeverNumber,m_LeverDifference,m_DistanceToCurrentIndicatorCube,elapsedTime,TotalDistanceTraveled,headset x,headset y,headset z,Controller (left) x,Controller (left) y,Controller (left) z,Controller (right) x,Controller (right) y,Controller (right) z,TeleportStart.x,TeleportStart.y,TeleportStart.z,TeleportEnd.x,TeleportEnd.y,TeleportEnd.zCurrentTargetCubeIndicator.x,CurrentTargetCubeIndicator.y,CurrentTargetCubeIndicator.z
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,3.25077,6.525122,10.55455,-31.5944,44.86235,-7.024927,-31.38332,44.34494,-6.904153,-31.59865,44.46434,-6.854175,,,,,,,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,2.983643,6.661249,10.82785,-31.33275,44.86299,-6.946246,-31.11786,44.3443,-6.825905,-31.33792,44.46444,-6.77555,,,,,,,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,2.668353,6.819206,11.15501,-31.0162,44.863,-6.86362,-30.79908,44.34529,-6.740679,-31.02011,44.46532,-6.693008,,,,,,,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,2.413961,6.977579,11.42311,-30.75559,44.86406,-6.800705,-30.53654,44.34621,-6.67399,-30.75732,44.46622,-6.630007,,,,,,,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,2.124712,7.128767,11.73223,-30.45508,44.86361,-6.728294,-30.23361,44.34717,-6.599343,-30.45214,44.46574,-6.559719,,,,,,,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,1.847391,7.288913,12.03277,-30.16428,44.86321,-6.652463,-29.93966,44.34761,-6.523809,-30.15895,44.46542,-6.486593,,,,,,,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,1.583956,7.417068,12.32407,-29.884,44.86277,-6.573121,-29.65784,44.34783,-6.444799,-29.87597,44.46452,-6.411273,,,,,,,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,1.355597,7.550301,12.58306,-29.63694,44.86207,-6.495495,-29.40903,44.34806,-6.366405,-29.62716,44.46392,-6.336543,,,,,,,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,1.122587,7.689434,12.85817,-29.37731,44.86156,-6.404536,-29.14862,44.34731,-6.273421,-29.36795,44.46317,-6.24833,,,,,,,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,0.9186273,7.823464,13.11783,-29.13508,44.86028,-6.311048,-28.90772,44.34682,-6.178999,-29.12875,44.46216,-6.156395,,,,,,,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,0.7435095,7.962102,13.39547,-28.87453,44.85792,-6.215292,-28.65071,44.34652,-6.082576,-28.87457,44.46192,-6.064835,,,,,,,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,0.6513344,8.088848,13.64889,-28.63589,44.85502,-6.130152,-28.41422,44.34599,-5.996001,-28.64618,44.46338,-5.983673,,,,,,,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,0.6992858,8.223149,13.88935,-28.3989,44.85194,-6.104641,-28.17992,44.34815,-5.962636,-28.4272,44.46732,-5.958395,,,,,,,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,0.7359673,8.357788,13.98735,-28.3097,44.84823,-6.094951,-28.09323,44.36745,-5.925291,-28.3692,44.47614,-5.947755,,,,,,,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,0.7309377,8.486694,13.99605,-28.31747,44.84455,-6.095356,-28.11216,44.40667,-5.862031,-28.41826,44.48417,-5.943919,,,,,,,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,0.7282592,8.62641,14.00281,-28.32358,44.84246,-6.09695,-28.1257,44.44833,-5.767161,-28.46345,44.48978,-5.950192,,,,,,,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,0.7273281,8.757756,14.0077,-28.32783,44.84449,-6.097974,-28.12605,44.45931,-5.676579,-28.50801,44.49829,-5.966424,,,,,,,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,0.7259621,8.895548,14.01213,-28.33114,44.8471,-6.097578,-28.11156,44.43961,-5.60942,-28.543,44.49923,-5.98609,,,,,,,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,0.7225112,9.029454,14.01652,-28.33334,44.84854,-6.0942,-28.10361,44.42485,-5.592665,-28.56701,44.49236,-5.997639,,,,,,,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,0.7217098,9.161206,14.02012,-28.33117,44.84855,-6.091712,-28.10295,44.41962,-5.58919,-28.56919,44.48478,-5.998167,,,,,,,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,0.7250448,9.29401,14.02755,-28.32425,44.85073,-6.090371,-28.10072,44.42171,-5.587436,-28.55346,44.48452,-5.987391,,,,,,,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,0.728977,9.428192,14.0361,-28.31592,44.85177,-6.08914,-28.10334,44.42633,-5.589316,-28.52751,44.48615,-5.969269,,,,,,,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,0.7335107,9.558537,14.04477,-28.3073,44.85172,-6.088778,-28.10393,44.42756,-5.590507,-28.50004,44.4881,-5.951401,,,,,,,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,0.7380948,9.69524,14.05206,-28.30013,44.85278,-6.089061,-28.10576,44.42883,-5.590541,-28.47771,44.49154,-5.94231,,,,,,,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,0.7411275,9.828577,14.05704,-28.29527,44.85307,-6.089272,-28.10786,44.43116,-5.590702,-28.46588,44.48911,-5.936339,,,,,,,-28.721,44.641,-5.5209
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,0.7425659,9.962248,14.06021,-28.29232,44.85244,-6.089168,-28.11014,44.43312,-5.590504,-28.45562,44.4872,-5.927544,,,,,,,-28.721,44.641,-5.5209
