elapsedTime,headset x,headset y,headset z,Controller (left) x,Controller (left) y,Controller (left) z,Controller (right) x,Controller (right) y,Controller (right) z
4.916887,-35.1977,44.86674,-14.43868,-35.31193,44.54417,-14.73145,-35.45972,44.46715,-14.51947
5.034878,-35.23807,44.87112,-14.46388,-35.3551,44.54607,-14.75274,-35.50046,44.46139,-14.53429
5.149897,-35.27287,44.87381,-14.48624,-35.39989,44.54591,-14.76515,-35.53815,44.45837,-14.54227
5.269628,-35.29622,44.87647,-14.50618,-35.43779,44.54465,-14.77449,-35.5721,44.46545,-14.54161
5.394269,-35.31384,44.87961,-14.52814,-35.47355,44.5429,-14.78088,-35.59061,44.47468,-14.53397
5.51842,-35.32425,44.88312,-14.55677,-35.50911,44.54662,-14.79073,-35.61578,44.48289,-14.53392
5.638501,-35.32849,44.8844,-14.58776,-35.53693,44.54705,-14.80552,-35.62154,44.48565,-14.53873
5.763,-35.32905,44.89081,-14.62506,-35.56213,44.54826,-14.82723,-35.62238,44.4888,-14.54883
5.887577,-35.32791,44.89223,-14.65994,-35.57861,44.55032,-14.84954,-35.61639,44.48849,-14.56151
6.011005,-35.3275,44.88929,-14.68951,-35.58832,44.54649,-14.86506,-35.61065,44.48582,-14.57165
6.134483,-35.32779,44.88873,-14.71135,-35.59629,44.54099,-14.87189,-35.60512,44.48433,-14.5704
6.260279,-35.32801,44.88991,-14.71841,-35.60089,44.54025,-14.86746,-35.59993,44.48443,-14.56251
6.384707,-35.32875,44.89064,-14.71371,-35.6096,44.53386,-14.85063,-35.59099,44.48383,-14.54746
6.504875,-35.33027,44.89209,-14.69871,-35.61457,44.52864,-14.82135,-35.58228,44.48248,-14.51965
6.626282,-35.33037,44.89315,-14.67833,-35.62225,44.52586,-14.78325,-35.56655,44.48514,-14.48025
6.753151,-35.32914,44.89436,-14.65453,-35.62887,44.5266,-14.73489,-35.54648,44.48569,-14.43746
6.873988,-35.32679,44.89351,-14.63083,-35.63361,44.52958,-14.68938,-35.52533,44.48372,-14.39795
6.999928,-35.31589,44.89373,-14.59818,-35.62879,44.5343,-14.63427,-35.49218,44.48526,-14.35639
7.118905,-35.30096,44.89425,-14.56808,-35.61766,44.53544,-14.57006,-35.44894,44.48711,-14.30637
7.247991,-35.2713,44.89344,-14.53399,-35.5885,44.53452,-14.48828,-35.35432,44.48408,-14.2321
7.379446,-35.23705,44.88986,-14.51831,-35.53718,44.52859,-14.4045,-35.21017,44.47595,-14.18508
7.526039,-35.21738,44.89437,-14.52436,-35.4659,44.52254,-14.33135,-35.05323,44.47336,-14.20664
7.662911,-35.21878,44.89893,-14.5381,-35.4089,44.51647,-14.29005,-34.94369,44.47717,-14.28108
7.818654,-35.04129,44.97746,-14.44421,-35.16263,44.58759,-14.15171,-34.67144,44.54322,-14.2733
7.952764,-34.84008,45.03796,-14.40874,-34.90781,44.6483,-14.09733,-34.4233,44.59336,-14.30372
8.097967,-34.64165,45.07796,-14.40064,-34.67228,44.69025,-14.09367,-34.21058,44.62131,-14.34336
8.224401,-34.43771,45.11885,-14.35951,-34.44277,44.72653,-14.07405,-34.01875,44.65231,-14.30201
8.367934,-34.26165,45.16148,-14.24617,-34.25294,44.76163,-13.97459,-33.88668,44.6859,-14.1433
8.508761,-34.10716,45.20396,-14.06436,-34.10526,44.80091,-13.80457,-33.78267,44.71446,-13.91828
8.639186,-34.00331,45.2379,-13.81848,-33.99978,44.83299,-13.57809,-33.70912,44.74118,-13.65718
8.773267,-33.96662,45.26572,-13.58286,-33.96044,44.86906,-13.35532,-33.70006,44.75239,-13.40187
8.907668,-33.95667,45.28251,-13.34085,-33.96027,44.89352,-13.11924,-33.70782,44.75994,-13.1386
9.02982,-33.92773,45.3042,-13.11913,-33.96018,44.91439,-12.89612,-33.68833,44.77725,-12.90005
9.159645,-33.83881,45.33148,-12.91586,-33.89543,44.93739,-12.68032,-33.55227,44.80041,-12.69804
9.305794,-33.63763,45.35326,-12.74472,-33.69757,44.95218,-12.48805,-33.2544,44.81401,-12.59494
9.429405,-33.41636,45.36398,-12.68605,-33.46644,44.95847,-12.41328,-32.97054,44.82091,-12.62588
9.573084,-33.16375,45.37497,-12.70592,-33.19377,44.96626,-12.42093,-32.6827,44.84033,-12.74174
9.702931,-32.93156,45.39444,-12.76537,-32.93795,44.98373,-12.47765,-32.43954,44.87971,-12.86814
9.841788,-32.69497,45.42852,-12.8528,-32.67892,45.01795,-12.56611,-32.20235,44.93231,-13.00444
9.974688,-32.46315,45.47107,-12.95542,-32.43125,45.06177,-12.66917,-31.9734,44.98648,-13.13378
10.11083,-32.22641,45.51539,-13.06456,-32.18322,45.10849,-12.78243,-31.74062,45.03288,-13.25422
10.24048,-31.99987,45.55446,-13.16261,-31.95309,45.14652,-12.8826,-31.51798,45.06192,-13.35355
10.37771,-31.75619,45.58618,-13.25829,-31.7068,45.17609,-12.98178,-31.27818,45.08096,-13.44223
10.50806,-31.518,45.60516,-13.33829,-31.46798,45.1955,-13.06336,-31.04272,45.08352,-13.51711
10.64108,-31.2846,45.61169,-13.40746,-31.23487,45.2024,-13.13423,-30.81385,45.07664,-13.58234
10.77625,-31.03713,45.6099,-13.47541,-30.98831,45.19998,-13.20306,-30.56997,45.06106,-13.64695
10.91135,-30.79433,45.60105,-13.53931,-30.74578,45.1897,-13.26716,-30.33001,45.04053,-13.70572
11.04644,-30.55127,45.58601,-13.60116,-30.50222,45.17508,-13.32905,-30.08842,45.01736,-13.76516
11.17882,-30.31263,45.56704,-13.6604,-30.26323,45.15617,-13.38862,-29.85112,44.99004,-13.82465
11.3123,-30.07173,45.54233,-13.71837,-30.02148,45.13237,-13.44877,-29.61269,44.95688,-13.88393
11.45441,-29.81777,45.51215,-13.78214,-29.76651,45.10193,-13.51361,-29.36018,44.92159,-13.94967
11.57997,-29.59092,45.48384,-13.84019,-29.53882,45.0738,-13.57314,-29.13373,44.89307,-14.01028
11.71475,-29.35102,45.45411,-13.90238,-29.29831,45.0441,-13.63687,-28.89302,44.86488,-14.07587
11.84905,-29.11102,45.42514,-13.96647,-29.0574,45.01579,-13.70199,-28.65248,44.83607,-14.1427
11.98217,-28.86911,45.39621,-14.03277,-28.81487,44.98755,-13.76912,-28.41076,44.806,-14.21038
12.11914,-28.62137,45.36756,-14.10187,-28.56706,44.95972,-13.83787,-28.16274,44.778,-14.27993
12.25425,-28.37968,45.34111,-14.16824,-28.32553,44.93417,-13.90416,-27.92058,44.75262,-14.34699
12.38816,-28.14003,45.3155,-14.23272,-28.08528,44.90929,-13.96917,-27.68018,44.72744,-14.4113
12.51652,-27.90378,45.29109,-14.29252,-27.84684,44.88545,-14.03154,-27.44303,44.70205,-14.47198
12.65253,-27.66523,45.2659,-14.34992,-27.60767,44.86121,-14.0924,-27.20418,44.67404,-14.53072
12.78778,-27.41858,45.24012,-14.4011,-27.35924,44.8354,-14.14963,-26.95249,44.65152,-14.57468
12.91954,-27.17516,45.2219,-14.43344,-27.11249,44.81989,-14.19102,-26.69392,44.65668,-14.57955
13.0805,-26.91589,45.2205,-14.4288,-26.85411,44.82116,-14.19543,-26.41858,44.6815,-14.5207
13.2357,-26.62341,45.23362,-14.36767,-26.57185,44.83339,-14.13758,-26.12652,44.69323,-14.38733
13.37356,-26.36802,45.23042,-14.24735,-26.32864,44.82928,-14.01989,-25.89103,44.65923,-14.20785
13.50021,-26.16723,45.20264,-14.10631,-26.1407,44.80244,-13.8798,-25.7213,44.58762,-14.02703
13.63393,-25.97815,45.14744,-13.9432,-25.96834,44.74891,-13.71584,-25.56709,44.48709,-13.84336
13.77116,-25.80052,45.06351,-13.76714,-25.80656,44.66808,-13.54151,-25.42086,44.3585,-13.65868
13.90681,-25.63703,44.95604,-13.59412,-25.65844,44.56459,-13.37268,-25.28374,44.21396,-13.48916
14.04297,-25.4806,44.82645,-13.42231,-25.5166,44.43784,-13.20493,-25.15234,44.05564,-13.32275
14.17301,-25.34377,44.68719,-13.26445,-25.39134,44.30127,-13.05022,-25.04019,43.89275,-13.17008
14.30744,-25.21752,44.52967,-13.10661,-25.27445,44.14482,-12.89585,-24.9363,43.71263,-13.01862
14.44582,-25.09991,44.35534,-12.94977,-25.16389,43.97078,-12.74212,-24.83785,43.51815,-12.86806
14.58087,-24.99418,44.17857,-12.80493,-25.06281,43.79548,-12.59821,-24.74528,43.32981,-12.72946
14.71002,-24.89841,44.00418,-12.66715,-24.96816,43.62267,-12.46128,-24.65629,43.15043,-12.59648
14.89093,-24.78256,43.78365,-12.49755,-24.85123,43.40274,-12.29332,-24.54347,42.92507,-12.43582
15.04804,-24.65746,43.52969,-12.31146,-24.72562,43.1507,-12.11052,-24.4206,42.66845,-12.25543
15.17927,-24.56653,43.33959,-12.17373,-24.63486,42.96087,-11.97474,-24.32985,42.47901,-12.12123
15.31414,-24.47621,43.14747,-12.03554,-24.54325,42.76869,-11.8374,-24.23904,42.28789,-11.98644
15.4712,-24.38343,42.94566,-11.89159,-24.44861,42.56934,-11.69405,-24.14544,42.08736,-11.8451
15.60878,-24.28125,42.71662,-11.73387,-24.3469,42.34346,-11.53679,-24.04627,41.85935,-11.68896
15.73415,-24.20417,42.52755,-11.60604,-24.27111,42.15552,-11.41046,-23.97192,41.67068,-11.56571
15.87035,-24.12626,42.32391,-11.4728,-24.19468,41.95258,-11.2784,-23.89593,41.46254,-11.43885
16.00922,-24.04594,42.11036,-11.34098,-24.11673,41.73927,-11.14625,-23.81376,41.24305,-11.31774
16.13885,-23.97047,41.91314,-11.22785,-24.04244,41.54148,-11.03123,-23.73534,41.04193,-11.21722
16.27373,-23.88734,41.70217,-11.11646,-23.96011,41.33101,-10.91677,-23.65201,40.8278,-11.11619
16.40627,-23.80226,41.49223,-11.0137,-23.87476,41.12148,-10.81006,-23.57328,40.61734,-11.01936
16.53747,-23.71845,41.28188,-10.91875,-23.79064,40.91096,-10.70952,-23.49872,40.40439,-10.92874
16.67369,-23.63344,41.0583,-10.82414,-23.70232,40.68658,-10.60947,-23.42024,40.1769,-10.8394
16.83187,-23.54714,40.82761,-10.73203,-23.60954,40.45692,-10.51267,-23.33812,39.9437,-10.75584
16.96812,-23.45467,40.58316,-10.64005,-23.51064,40.21172,-10.41667,-23.24812,39.69592,-10.67194
17.11999,-23.35697,40.33061,-10.5539,-23.40426,39.95799,-10.32548,-23.15151,39.43956,-10.59397
17.25655,-23.26729,40.10922,-10.48481,-23.30749,39.73618,-10.25158,-23.05813,39.21513,-10.53195
17.3909,-23.17179,39.89041,-10.42265,-23.20489,39.51411,-10.18488,-22.95808,38.99341,-10.47701
17.52219,-23.07573,39.67836,-10.36658,-23.10137,39.30148,-10.12732,-22.85423,38.78291,-10.43311
17.65673,-22.96721,39.45286,-10.31205,-22.98712,39.07492,-10.07106,-22.7336,38.56013,-10.39097
17.79911,-22.84877,39.22761,-10.26386,-22.86355,38.84966,-10.02202,-22.59162,38.34175,-10.35629
17.92766,-22.72787,39.02469,-10.22771,-22.73875,38.64734,-9.98337,-22.4428,38.14772,-10.32768
18.0617,-22.58946,38.81804,-10.19648,-22.59699,38.44016,-9.949705,-22.27506,37.95291,-10.30527
18.19194,-22.44765,38.62514,-10.1706,-22.45144,38.24623,-9.923714,-22.11253,37.76959,-10.28369
18.32738,-22.29353,38.42793,-10.14575,-22.29432,38.04874,-9.898746,-21.94238,37.57855,-10.26271
18.46243,-22.13905,38.23717,-10.12413,-22.13711,37.8586,-9.876436,-21.77554,37.39301,-10.24478
18.5931,-21.98294,38.04932,-10.10444,-21.97839,37.66886,-9.856699,-21.61115,37.20769,-10.22824
18.72006,-21.82879,37.86742,-10.08576,-21.82215,37.48581,-9.838968,-21.45129,37.02705,-10.21433
18.8506,-21.67319,37.6875,-10.06828,-21.66479,37.30492,-9.822051,-21.29037,36.84726,-10.20283
18.98427,-21.51344,37.50238,-10.05357,-21.50054,37.12033,-9.806973,-21.12214,36.6635,-10.19194
19.11821,-21.34755,37.3183,-10.04003,-21.33245,36.93429,-9.792227,-20.94599,36.48377,-10.18043
19.24265,-21.19204,37.15145,-10.02928,-21.17275,36.76537,-9.780491,-20.77642,36.32528,-10.16902
19.37572,-21.01535,36.97387,-10.01735,-20.99339,36.58666,-9.768183,-20.58439,36.15871,-10.15155
19.50686,-20.83742,36.80633,-10.00429,-20.81311,36.41845,-9.753707,-20.39333,36.00066,-10.13923
19.64322,-20.65453,36.6425,-9.991647,-20.63024,36.25548,-9.738294,-20.19836,35.84465,-10.13312
19.77776,-20.46334,36.4772,-9.981784,-20.43865,36.08895,-9.727322,-19.99788,35.68549,-10.12988
19.9114,-20.27172,36.31631,-9.975416,-20.2468,35.92747,-9.719106,-19.80049,35.528,-10.12694
20.04542,-20.07845,36.15657,-9.97103,-20.05256,35.76781,-9.713069,-19.60366,35.36959,-10.1257
20.18125,-19.88243,35.999,-9.968057,-19.85658,35.61068,-9.708719,-19.40328,35.2145,-10.12799
20.32516,-19.67293,35.83364,-9.969136,-19.64626,35.44391,-9.707769,-19.18741,35.05274,-10.13551
20.45955,-19.47655,35.6806,-9.971245,-19.44862,35.29041,-9.709268,-18.98598,34.90356,-10.14199
20.59196,-19.27891,35.52842,-9.974571,-19.24913,35.13842,-9.712906,-18.78283,34.75525,-10.14919
20.72742,-19.08428,35.3814,-9.979605,-19.05273,34.99131,-9.71787,-18.58227,34.61257,-10.15521
20.86513,-18.87454,35.22684,-9.985394,-18.84175,34.83781,-9.724899,-18.36626,34.46309,-10.16228
20.99383,-18.67953,35.08828,-9.991882,-18.64603,34.69904,-9.730409,-18.16227,34.33175,-10.16788
21.12877,-18.47405,34.94764,-9.997665,-18.43971,34.5577,-9.736614,-17.94698,34.20052,-10.17325
21.2631,-18.26284,34.81104,-10.00368,-18.22715,34.42034,-9.743057,-17.7235,34.07713,-10.17949
21.38697,-18.06637,34.69372,-10.00963,-18.02978,34.30279,-9.748346,-17.51502,33.97333,-10.18622
21.51968,-17.85348,34.57347,-10.01616,-17.81598,34.18229,-9.755333,-17.29157,33.86261,-10.19923
21.65273,-17.63325,34.45434,-10.02597,-17.59591,34.06179,-9.765545,-17.06186,33.75195,-10.21564
21.78469,-17.41364,34.3418,-10.0386,-17.37644,33.94671,-9.776374,-16.82942,33.65042,-10.23523
21.91038,-17.20257,34.23845,-10.05382,-17.16322,33.8408,-9.790411,-16.60334,33.56293,-10.25677
22.04598,-16.97832,34.13644,-10.07156,-16.93577,33.73678,-9.8078,-16.363,33.47972,-10.28019
22.17786,-16.75098,34.04088,-10.08997,-16.70661,33.64029,-9.825488,-16.12065,33.40408,-10.30301
22.31514,-16.51935,33.95097,-10.10866,-16.47436,33.54891,-9.843983,-15.87577,33.3318,-10.32556
22.44746,-16.28286,33.86616,-10.12736,-16.23735,33.46292,-9.863389,-15.62838,33.26331,-10.34396
22.57957,-16.04729,33.78769,-10.14531,-16.00213,33.3833,-9.880598,-15.38293,33.19853,-10.35888
22.71338,-15.81369,33.71459,-10.16244,-15.76889,33.30918,-9.897234,-15.13858,33.14198,-10.37093
22.83748,-15.58739,33.64896,-10.17814,-15.54222,33.2421,-9.912205,-14.90042,33.097,-10.37865
22.97322,-15.34722,33.58889,-10.19485,-15.29847,33.18268,-9.927911,-14.64268,33.07378,-10.37853
23.1057,-15.10223,33.54325,-10.20995,-15.0494,33.13856,-9.939395,-14.37818,33.07455,-10.3773
23.23947,-14.85581,33.51446,-10.22146,-14.79894,33.1108,-9.948727,-14.11556,33.09294,-10.37308
23.37537,-14.61207,33.50059,-10.22976,-14.55172,33.09712,-9.955739,-13.85923,33.11585,-10.36983
23.50124,-14.36706,33.49611,-10.23693,-14.30568,33.09418,-9.959752,-13.60551,33.13749,-10.37005
23.63309,-14.12437,33.49708,-10.2447,-14.06167,33.09752,-9.96416,-13.35751,33.15806,-10.37053
23.76517,-13.90231,33.50047,-10.25026,-13.83915,33.10247,-9.96765,-13.13311,33.17454,-10.37027
23.90063,-13.63751,33.50586,-10.25539,-13.57388,33.1091,-9.973082,-12.86862,33.18908,-10.37042
24.03232,-13.38469,33.50806,-10.26061,-13.32037,33.11332,-9.978631,-12.61673,33.19823,-10.37106
24.16671,-13.12703,33.50532,-10.26708,-13.06316,33.11365,-9.985044,-12.36224,33.20602,-10.36976
24.30126,-12.86883,33.50091,-10.27115,-12.80575,33.11204,-9.990635,-12.10589,33.21216,-10.36553
24.42981,-12.61147,33.50011,-10.27316,-12.55095,33.11403,-9.991465,-11.84985,33.22061,-10.3564
24.56507,-12.35186,33.50339,-10.27225,-12.29124,33.11636,-9.989732,-11.5938,33.22989,-10.33817
24.69038,-12.09539,33.51258,-10.26676,-12.03441,33.12545,-9.985308,-11.34737,33.2536,-10.3019
24.83578,-11.81227,33.52519,-10.25226,-11.75163,33.14478,-9.968794,-11.08143,33.28717,-10.24723
24.97027,-11.55268,33.53776,-10.22777,-11.49003,33.16186,-9.947565,-10.82942,33.31608,-10.20042
25.10422,-11.29319,33.55179,-10.1978,-11.22978,33.17851,-9.92043,-10.56914,33.34105,-10.16386
25.23863,-11.0437,33.56449,-10.16961,-10.98085,33.19089,-9.891234,-10.31573,33.35749,-10.13549
25.36256,-10.8066,33.57478,-10.14584,-10.74709,33.20097,-9.866697,-10.07637,33.36618,-10.11637
25.48232,-10.56983,33.58361,-10.12683,-10.51423,33.20987,-9.848192,-9.838388,33.37105,-10.10431
25.60867,-10.32983,33.59066,-10.11171,-10.27555,33.2171,-9.8325,-9.596279,33.37784,-10.09922
25.7409,-10.08422,33.59713,-10.10146,-10.03017,33.22573,-9.820724,-9.349676,33.3896,-10.09874
25.87444,-9.829141,33.60494,-10.0928,-9.777617,33.23361,-9.812977,-9.095027,33.40882,-10.09394
26.00833,-9.57322,33.61395,-10.0831,-9.521866,33.24207,-9.80641,-8.840347,33.42691,-10.0871
26.14231,-9.321456,33.62369,-10.07216,-9.270458,33.25135,-9.799499,-8.58798,33.44006,-10.08044
26.27896,-9.057069,33.63461,-10.06007,-9.006686,33.25902,-9.791004,-8.324134,33.44237,-10.06644
26.41016,-8.807843,33.64542,-10.04333,-8.760821,33.2686,-9.777696,-8.084526,33.45221,-10.04113
26.52732,-8.581393,33.64982,-10.02498,-8.538795,33.27118,-9.760136,-7.882147,33.46001,-10.01659
26.66698,-8.322613,33.6534,-10.00597,-8.289391,33.2776,-9.746404,-7.674781,33.4875,-9.991353
26.79994,-8.051334,33.66461,-9.997684,-8.025741,33.29611,-9.743529,-7.473613,33.52826,-9.975327
26.93494,-7.781534,33.6861,-9.989715,-7.735148,33.31345,-9.738838,-7.275834,33.57216,-9.952002
27.0711,-7.516688,33.71177,-9.970234,-7.47025,33.34089,-9.730296,-7.068316,33.59919,-9.920088
27.19453,-7.262444,33.73112,-9.93848,-7.213772,33.3619,-9.710201,-6.847904,33.61504,-9.883562
27.32196,-7.015332,33.74542,-9.894903,-6.966701,33.37527,-9.676403,-6.620109,33.62365,-9.843973
27.45046,-6.766709,33.75282,-9.850306,-6.719043,33.38322,-9.634901,-6.377277,33.6299,-9.804533
27.57218,-6.535788,33.75458,-9.811706,-6.488877,33.38675,-9.595153,-6.145565,33.63143,-9.76679
27.70487,-6.28893,33.75395,-9.770933,-6.244227,33.38878,-9.551981,-5.89809,33.63348,-9.724751
27.83902,-6.030893,33.75229,-9.727983,-5.988846,33.38803,-9.506207,-5.63738,33.63195,-9.681198
27.97358,-5.769736,33.74665,-9.685383,-5.731366,33.38345,-9.458763,-5.373007,33.62648,-9.639095
28.10679,-5.511849,33.7381,-9.646708,-5.474537,33.37674,-9.419606,-5.113666,33.61852,-9.599651
28.2311,-5.266162,33.72849,-9.612024,-5.229681,33.36712,-9.385506,-4.866699,33.60786,-9.566192
28.35999,-5.022421,33.71576,-9.581268,-4.985552,33.35554,-9.354389,-4.61882,33.5924,-9.538529
28.47745,-4.796358,33.70059,-9.557182,-4.760021,33.34167,-9.328633,-4.387356,33.57501,-9.520018
28.61957,-4.535166,33.67818,-9.529527,-4.50017,33.31872,-9.302669,-4.122969,33.54987,-9.500817
28.75452,-4.28751,33.65131,-9.502954,-4.251505,33.29014,-9.27771,-3.872099,33.51951,-9.481037
28.88876,-4.034611,33.62116,-9.476393,-3.996972,33.25938,-9.251629,-3.614105,33.48616,-9.466028
29.02395,-3.785922,33.5909,-9.457054,-3.74718,33.22875,-9.23131,-3.356546,33.44793,-9.459828
29.15619,-3.540751,33.5577,-9.448679,-3.501321,33.19487,-9.21988,-3.106519,33.41327,-9.463336
29.27602,-3.302336,33.52599,-9.445709,-3.261599,33.16268,-9.215314,-2.864623,33.38447,-9.475697
29.39311,-3.086439,33.50183,-9.451735,-3.042682,33.13823,-9.219799,-2.644838,33.36208,-9.495581
29.53693,-2.837122,33.48367,-9.469816,-2.790279,33.11998,-9.23566,-2.393212,33.34467,-9.524784
29.66824,-2.585114,33.46997,-9.497703,-2.535606,33.10604,-9.262557,-2.137272,33.32733,-9.558393
29.80408,-2.334517,33.45908,-9.531168,-2.282763,33.09408,-9.293867,-1.884525,33.31491,-9.594017
29.93629,-2.081528,33.4554,-9.56724,-2.028973,33.08824,-9.328582,-1.633707,33.31129,-9.626626
30.06822,-1.829845,33.45436,-9.600485,-1.776172,33.08715,-9.360899,-1.387951,33.3132,-9.647079
30.19094,-1.597855,33.45737,-9.624096,-1.544089,33.09078,-9.385116,-1.164906,33.32312,-9.655335
30.32288,-1.349148,33.46404,-9.638144,-1.295699,33.09754,-9.400716,-0.9231353,33.33336,-9.654346
30.44023,-1.128737,33.47097,-9.641672,-1.077171,33.10275,-9.404751,-0.7027456,33.33624,-9.651645
30.57332,-0.8893843,33.47418,-9.640766,-0.8393416,33.10376,-9.404075,-0.4562482,33.32547,-9.650496
30.7084,-0.6364297,33.46422,-9.640681,-0.5882171,33.09358,-9.404784,-0.1921391,33.29398,-9.65216
30.84315,-0.3812568,33.43633,-9.641382,-0.3360761,33.06625,-9.404227,0.07634106,33.23335,-9.653567
30.96265,-0.1466336,33.38533,-9.640168,-0.1042425,33.01453,-9.402585,0.3250687,33.12143,-9.657593
31.09462,0.08941862,33.30037,-9.642117,0.1271036,32.92942,-9.405178,0.5639219,32.94388,-9.66818
31.20956,0.2825444,33.19704,-9.647613,0.3143197,32.82472,-9.408001,0.7421303,32.75157,-9.685921
31.34122,0.4785132,33.05333,-9.662511,0.5075079,32.67834,-9.420858,0.9152114,32.53094,-9.712631
31.4696,0.6536303,32.90095,-9.684127,0.6859035,32.52599,-9.441449,1.101309,32.38354,-9.73581
31.58977,0.8399818,32.76944,-9.703935,0.8786884,32.39396,-9.460173,1.328753,32.34823,-9.747391
31.71437,1.053466,32.69519,-9.71808,1.096941,32.3187,-9.473463,1.568268,32.40881,-9.746923
31.8588,1.306105,32.67781,-9.72184,1.351739,32.29958,-9.473515,1.826492,32.50113,-9.737797
31.99295,1.554575,32.69339,-9.718577,1.601962,32.31635,-9.471822,2.074919,32.57878,-9.729996
32.12743,1.805034,32.72818,-9.715585,1.852327,32.34971,-9.469348,2.324106,32.64786,-9.72759
32.25359,2.048659,32.77362,-9.714178,2.097281,32.39298,-9.467797,2.567616,32.7023,-9.725868
32.3812,2.282153,32.81804,-9.711888,2.33168,32.43933,-9.464896,2.801925,32.74677,-9.724819
32.50492,2.513808,32.85946,-9.711228,2.563257,32.48038,-9.461823,3.035774,32.77947,-9.724357
32.62049,2.729311,32.88427,-9.709185,2.778159,32.50611,-9.458431,3.258101,32.78203,-9.720613
32.75124,2.966321,32.88941,-9.705207,3.012844,32.51274,-9.45153,3.507818,32.74652,-9.717355
32.87701,3.207725,32.86818,-9.700389,3.251114,32.49131,-9.445063,3.76121,32.67683,-9.717314
33.01885,3.461743,32.82081,-9.70062,3.500825,32.44476,-9.442088,4.022742,32.58614,-9.725793
33.15354,3.706517,32.75812,-9.705976,3.74413,32.38229,-9.446625,4.270476,32.48864,-9.738269
