userName,cohort,trial,PossibleNavigations,ExperimentPhase,UserSelectedNavMethod,TaskNumber,ActiveTask,CurrentLeverValue,CurrentTargetLeverNumber,LeverDifference,DistanceToCurrentIndicatorCube,ProximityToCurrentIndicatorCube,CurrentTargetCubeIndicator.x,CurrentTargetCubeIndicator.y,CurrentTargetCubeIndicator.z,elapsedTime,TotalDistanceTraveled,headset x,headset y,headset z,Controller (left) x,Controller (left) y,Controller (left) z,Controller (right) x,Controller (right) y,Controller (right) z,TeleportPositionStep.x,TeleportPositionStep.y,TeleportPositionStep.z
R_1234567890,Control,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.380605,Far,-28.661,44.641,-5.3419,10.25737,8.90679,-26.60311,44.26813,-14.48639,-26.50874,44.0192,-14.7055,-26.57701,44.04445,-14.81728,0,0,0
R_1234567890,Control,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.385406,Far,-28.661,44.641,-5.3419,10.43122,8.90679,-26.59354,44.2677,-14.48915,-26.49476,44.04265,-14.69688,-26.55578,44.07838,-14.80766,0,0,0
R_1234567890,Control,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.389815,Far,-28.661,44.641,-5.3419,10.59895,8.90679,-26.58465,44.26931,-14.49172,-26.48596,44.05894,-14.68538,-26.53783,44.09267,-14.79943,0,0,0
R_1234567890,Control,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.390996,Far,-28.661,44.641,-5.3419,10.7716,8.90679,-26.58124,44.26736,-14.49208,-26.48329,44.04766,-14.68609,-26.53614,44.08483,-14.80225,0,0,0
R_1234567890,Control,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.384402,Far,-28.661,44.641,-5.3419,10.92357,8.90679,-26.57663,44.26736,-14.48426,-26.48637,44.03757,-14.68317,-26.53571,44.06869,-14.80603,0,0,0
R_1234567890,Control,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.397122,Far,-28.661,44.641,-5.3419,11.08269,8.945932,-26.5332,44.2661,-14.48727,-26.45547,44.02968,-14.69419,-26.49301,44.06555,-14.80966,0,0,0
R_1234567890,Control,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.509971,Far,-28.661,44.641,-5.3419,11.23586,9.229172,-26.25155,44.26537,-14.53391,-26.17538,44.0304,-14.73918,-26.21225,44.06251,-14.85888,0,0,0
R_1234567890,Control,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.666826,Far,-28.661,44.641,-5.3419,11.39763,9.562234,-25.92732,44.26519,-14.60653,-25.85218,44.02969,-14.81376,-25.89154,44.06298,-14.93342,0,0,0
R_1234567890,Control,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.761048,Far,-28.661,44.641,-5.3419,11.55972,9.734997,-25.76148,44.26553,-14.65479,-25.67947,44.02728,-14.86051,-25.73275,44.07093,-14.98073,0,0,0
R_1234567890,Control,Trial2,Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,9.759382,Far,-28.661,44.641,-5.3419,11.70602,9.734997,-25.75885,44.2652,-14.65221,-25.67043,44.03002,-14.857,-25.72148,44.07504,-14.97661,0,0,0
