PossibleNavigations,ExperimentPhase,UserSelectedNavMethod,m_TaskNumber,m_ActiveTask,m_CurrentLeverValue,m_CurrentTargetLeverNumber,m_LeverDifference,elapsedTime,headset x,headset y,headset z,Controller (left) x,Controller (left) y,Controller (left) z,Controller (right) x,Controller (right) y,Controller (right) z,TeleportStart.x,TeleportStart.y,TeleportStart.z,TeleportEnd.x,TeleportEnd.y,TeleportEnd.z
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,5.743243,-33.72923,43.92508,-13.50695,-35.16,43.208,-14.71,-35.16,43.208,-14.71,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,5.87915,-33.72935,43.92505,-13.507,-35.16,43.208,-14.71,-35.16,43.208,-14.71,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,6.011167,-33.72948,43.9252,-13.50692,-35.16,43.208,-14.71,-35.16,43.208,-14.71,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,6.14781,-33.72896,43.92504,-13.507,-35.16,43.208,-14.71,-35.16,43.208,-14.71,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,6.282656,-33.72931,43.92515,-13.50702,-35.16,43.208,-14.71,-35.16,43.208,-14.71,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,6.413127,-33.72908,43.92524,-13.50698,-35.16,43.208,-14.71,-35.16,43.208,-14.71,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,6.544945,-33.72914,43.92505,-13.5069,-35.16,43.208,-14.71,-35.16,43.208,-14.71,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,6.679909,-33.72929,43.92467,-13.50676,-35.16,43.208,-14.71,-35.16,43.208,-14.71,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,6.818548,-33.72935,43.9251,-13.50677,-35.16,43.208,-14.71,-35.16,43.208,-14.71,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,6.951184,-33.72953,43.92502,-13.50699,-35.16,43.208,-14.71,-35.16,43.208,-14.71,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,7.08333,-33.74321,43.92236,-13.50884,-35.16,43.208,-14.71,-35.16,43.208,-14.71,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,7.216482,-33.85494,44.0756,-13.52884,-35.16,43.208,-14.71,-35.16,43.208,-14.71,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,7.354027,-34.01558,44.27817,-13.54084,-35.16,43.208,-14.71,-35.16,43.208,-14.71,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,7.485001,-34.1451,44.45972,-13.52117,-35.16,43.208,-14.71,-35.16,43.208,-14.71,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,7.613003,-34.25336,44.58714,-13.49931,-35.16,43.208,-14.71,-35.16,43.208,-14.71,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,7.750925,-34.22816,44.66757,-13.51559,-35.16,43.208,-14.71,-35.16,43.208,-14.71,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,7.881609,-34.18585,44.81608,-13.53893,-35.16,43.208,-14.71,-35.16,43.208,-14.71,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,7.998263,-34.15616,44.94848,-13.60905,-35.16,43.208,-14.71,-35.16,43.208,-14.71,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,8.120901,-34.11238,45.08462,-13.72196,-35.16,43.208,-14.71,-35.16,43.208,-14.71,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,8.24307,-34.14183,45.18357,-13.86428,-35.16,43.208,-14.71,-35.16,43.208,-14.71,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,8.384642,-34.24422,45.15787,-14.00643,-35.16,43.208,-14.71,-35.16,43.208,-14.71,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,8.515638,-34.28486,45.06168,-13.99754,-35.16,43.208,-14.71,-35.16,43.208,-14.71,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,8.649157,-34.25557,45.05228,-13.90189,-35.16,43.208,-14.71,-35.16,43.208,-14.71,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,8.785623,-34.2532,45.05242,-13.80307,-35.16,43.208,-14.71,-35.16,43.208,-14.71,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,8.913733,-34.24527,45.00598,-13.71588,-35.16,43.208,-14.71,-35.16,43.208,-14.71,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,9.044002,-34.25112,44.92801,-13.66454,-35.16,43.208,-14.71,-35.16,43.208,-14.71,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,9.179712,-34.25293,44.92492,-13.60774,-35.16,43.208,-14.71,-35.16,43.208,-14.71,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,9.302245,-34.25614,44.93215,-13.56498,-35.16,43.208,-14.71,-35.16,43.208,-14.71,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,9.424335,-34.26244,44.92451,-13.52699,-35.16,43.208,-14.71,-35.16,43.208,-14.71,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,9.556479,-34.26608,44.91757,-13.4762,-35.16,43.208,-14.71,-35.16,43.208,-14.71,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,9.691767,-34.27844,44.89107,-13.42482,-35.16,43.208,-14.71,-35.16,43.208,-14.71,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,9.82638,-34.28407,44.84833,-13.3806,-35.16,43.208,-14.71,-35.16,43.208,-14.71,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,9.955845,-34.28639,44.81982,-13.35367,-35.16,43.208,-14.71,-35.16,43.208,-14.71,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,10.08487,-34.28448,44.80596,-13.3336,-35.16,43.208,-14.71,-35.16,43.208,-14.71,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,10.21327,-34.27916,44.80138,-13.32307,-35.16,43.208,-14.71,-35.16,43.208,-14.71,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,10.34088,-34.26563,44.79973,-13.31252,-35.16,43.208,-14.71,-35.16,43.208,-14.71,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,10.46504,-34.25084,44.80206,-13.31432,-35.16,43.208,-14.71,-35.16,43.208,-14.71,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,10.59926,-34.2355,44.80871,-13.33819,-35.16,43.208,-14.71,-35.16,43.208,-14.71,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,10.73271,-34.21412,44.82885,-13.39122,-35.16,43.208,-14.71,-35.16,43.208,-14.71,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,10.86934,-34.19816,44.86157,-13.48305,-35.16,43.208,-14.71,-35.16,43.208,-14.71,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,11.01614,-34.19501,44.88979,-13.60359,-34.28351,44.30278,-13.25502,-34.23249,44.38845,-13.2561,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,11.17081,-34.20122,44.91891,-13.74337,-34.25695,44.42279,-13.38823,-34.16758,44.55865,-13.42206,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,11.30902,-34.21916,44.94312,-13.8584,-34.28277,44.50911,-13.48694,-34.07127,44.60175,-13.53267,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,11.47392,-34.24932,44.95534,-13.93397,-34.27347,44.57197,-13.57774,-33.9089,44.53207,-13.67724,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,11.64643,-34.29457,44.95694,-13.98277,-34.26278,44.57541,-13.63223,-33.89767,44.43766,-13.8262,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,11.77731,-34.35157,44.94525,-14.00618,-34.28545,44.56159,-13.6649,-33.86674,44.41597,-13.93643,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,11.91173,-34.41409,44.94168,-14.01343,-34.31878,44.554,-13.69803,-33.83286,44.45664,-14.02281,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,12.04701,-34.4583,44.95229,-14.02013,-34.36949,44.56394,-13.72966,-33.81107,44.5209,-14.08526,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,12.18037,-34.49171,44.95351,-14.03236,-34.40451,44.57745,-13.74773,-33.80298,44.5809,-14.12061,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,12.31681,-34.51079,44.95511,-14.04108,-34.42431,44.59237,-13.75684,-33.79327,44.60596,-14.13701,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,12.44779,-34.51511,44.95566,-14.04718,-34.42414,44.59605,-13.76044,-33.78647,44.61679,-14.14745,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,12.57689,-34.51279,44.95587,-14.0526,-34.41818,44.59634,-13.76548,-33.78397,44.61927,-14.15453,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,12.71139,-34.50814,44.95631,-14.05822,-34.41349,44.59599,-13.77158,-33.78031,44.61724,-14.16012,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,12.85041,-34.50309,44.95613,-14.06263,-34.40697,44.59889,-13.77473,-33.77863,44.6144,-14.163,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,13.03331,-34.49832,44.95594,-14.06599,-34.40008,44.59884,-13.77946,-33.78331,44.61425,-14.16488,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,13.16359,-34.4955,44.95595,-14.06836,-34.39812,44.59898,-13.78187,-33.78775,44.61478,-14.16601,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,13.29847,-34.49374,44.95591,-14.0676,-34.39483,44.59929,-13.78427,-33.81427,44.61522,-14.16195,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,13.43393,-34.4936,44.9579,-14.05117,-34.38953,44.59872,-13.78793,-33.83446,44.59512,-14.15849,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,13.57926,-9.779343,44.90093,-14.69701,-9.669661,44.5412,-14.48046,-9.140715,44.44881,-14.83851,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,13.71259,-9.81116,44.90484,-14.67366,-9.681378,44.54121,-14.48356,-9.181742,44.36917,-14.80666,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,13.84778,-9.831059,44.90262,-14.6815,-9.702471,44.54999,-14.49358,-9.217382,44.36489,-14.71697,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,13.98278,-9.842031,44.90437,-14.69903,-9.73224,44.57011,-14.51226,-9.260362,44.44944,-14.57736,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,14.12302,-9.851267,44.9061,-14.71814,-9.779263,44.5892,-14.52663,-9.392973,44.56332,-14.43557,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,14.25631,-9.860789,44.90543,-14.7362,-9.823218,44.59639,-14.53963,-9.54298,44.61904,-14.33572,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,14.3877,-9.869435,44.90543,-14.75106,-9.837691,44.60596,-14.56389,-9.680547,44.63702,-14.27664,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,14.52256,-9.877399,44.9072,-14.76434,-9.853159,44.61751,-14.59047,-9.810857,44.64336,-14.26031,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,14.65566,-9.881167,44.90685,-14.77192,-9.867747,44.62403,-14.60896,-9.913893,44.64482,-14.2722,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,14.79107,-9.883803,44.90623,-14.77518,-9.885811,44.62436,-14.61483,-9.985093,44.64603,-14.29139,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,14.92787,-9.88616,44.90528,-14.77358,-9.900745,44.62637,-14.61976,-10.03168,44.64351,-14.31491,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,15.06597,-9.890143,44.90426,-14.77228,-9.910836,44.62772,-14.62052,-10.0577,44.64643,-14.32676,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,15.19574,-9.893369,44.90337,-14.76986,-9.919733,44.62791,-14.61922,-10.06751,44.64526,-14.32518,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,15.32922,-9.89557,44.90274,-14.76711,-9.923494,44.62839,-14.61471,-10.07493,44.65424,-14.32073,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,15.46124,-9.897314,44.90235,-14.76369,-9.92671,44.62946,-14.61245,-10.08184,44.66729,-14.32098,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,15.59934,-9.898743,44.90242,-14.76154,-9.929887,44.62934,-14.60963,-10.08745,44.67567,-14.32288,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,15.72675,-9.900794,44.90259,-14.76131,-9.933179,44.62839,-14.60759,-10.09306,44.68184,-14.3246,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,15.86522,-9.903464,44.90239,-14.76282,-9.937183,44.62851,-14.60852,-10.09991,44.68526,-14.32984,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,15.99687,-9.906571,44.90253,-14.76535,-9.94086,44.62854,-14.61035,-10.10683,44.68623,-14.33704,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,16.13043,-9.909628,44.90245,-14.76854,-9.944956,44.62855,-14.61202,-10.11351,44.6874,-14.34295,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,16.26763,-9.911746,44.90229,-14.77222,-9.947659,44.62857,-14.61571,-10.11702,44.68841,-14.3473,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,16.39976,-9.912381,44.90265,-14.77512,-9.948668,44.62844,-14.61872,-10.11719,44.68748,-14.34747,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,16.53302,-9.91179,44.90236,-14.77654,-9.947701,44.62777,-14.62101,-10.1147,44.68449,-14.34679,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,16.66546,-9.910315,44.90299,-14.77761,-9.946349,44.62827,-14.62304,-10.11204,44.68222,-14.34687,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,16.80298,-9.90863,44.9031,-14.77845,-9.945552,44.62784,-14.62411,-10.11109,44.68045,-14.34733,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,16.93451,-9.906099,44.9034,-14.77957,-9.944167,44.62806,-14.62533,-10.11046,44.6772,-14.35024,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,17.11041,-9.904034,44.90321,-14.78037,-9.942338,44.6279,-14.62583,-10.11128,44.67602,-14.35257,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,17.24584,-9.901476,44.90368,-14.78029,-9.94098,44.6285,-14.62671,-10.11089,44.6752,-14.35369,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,17.38014,-9.898694,44.90427,-14.77848,-9.941913,44.62833,-14.62407,-10.10741,44.67229,-14.35285,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,17.52142,-9.898098,44.90346,-14.77349,-9.952985,44.62349,-14.60909,-10.09102,44.6588,-14.35581,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,17.64959,-25.49992,44.90022,-7.705324,-25.58434,44.59792,-7.517443,-25.64159,44.62208,-7.33011,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,17.77859,-25.50204,44.89468,-7.687132,-25.60944,44.55062,-7.480433,-25.56552,44.56886,-7.358539,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,17.91258,-25.49573,44.8897,-7.665801,-25.58304,44.51672,-7.444763,-25.5068,44.51028,-7.375599,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,18.04745,-25.48417,44.88332,-7.643176,-25.53814,44.49096,-7.424915,-25.45871,44.48766,-7.370456,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,18.18472,-25.45559,44.87503,-7.614923,-25.50805,44.47648,-7.40614,-25.41531,44.48011,-7.367967,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,18.31572,-25.42771,44.86488,-7.595852,-25.48938,44.46328,-7.390472,-25.39448,44.4675,-7.35944,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,18.44867,-25.41433,44.85423,-7.576608,-25.47291,44.44412,-7.371114,-25.34762,44.44277,-7.357813,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,18.59131,-25.39304,44.84761,-7.565926,-25.46292,44.4211,-7.347774,-25.34275,44.41338,-7.34321,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,18.72082,-25.37201,44.83618,-7.559216,-25.45293,44.4137,-7.329669,-25.32691,44.39908,-7.333146,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,18.85193,-25.33271,44.85727,-7.529348,-25.43959,44.40508,-7.311876,-25.30613,44.38383,-7.323996,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,18.98509,-25.25237,44.9411,-7.517997,-25.41725,44.38877,-7.291801,-25.27869,44.36295,-7.310154,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,19.1193,-25.13812,45.02272,-7.591187,-25.39656,44.37093,-7.265956,-25.25627,44.34481,-7.284582,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,19.25394,-24.96039,45.00012,-7.634069,-25.36943,44.35042,-7.221671,-25.22677,44.32486,-7.235001,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,19.39002,-24.8239,44.87566,-7.506639,-25.33434,44.3344,-7.150269,-25.19511,44.31173,-7.151508,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,19.52846,-24.81314,44.68505,-7.303078,-25.29328,44.32965,-7.064497,-25.15953,44.30511,-7.056214,,,,,,,
